id,premise,choice1,choice2,question,label,mirrored
1283,Nahihirapan ang batang lalaki na makatulog.,Pinailawan niya ang kanyang nightlight.,Nanood siya ng pelikulang nakakatakot.,sanhi,1,1
207,Pinatalsik ang mga nangungupahan mula sa apartment.,Hindi nila binayaran ang kanilang upa.,Magkasundo sila sa kanilang may-ari.,sanhi,1,0
1317,Hindi nakapahinga ang lalaki sa umaga.,Nagpunta siya sa kagubatan para mag-kamping.,Nakatulog siya sa kanyang sopa.,sanhi,2,1
1006,Nanalo ang politiko sa halalan.,Walang bumoto sa kanya.,Nagpatakbo siya ng mga negatibong patalastas sa kampanya.,sanhi,2,1
170,Lumipad ang alikabok mula sa mesa.,Inalis ko ang mga libro mula sa mesa.,Pinunasan ko ang mesa gamit ang basahan.,sanhi,2,0
194,Nami-miss ng batang lalaki ang kanyang tahanan.,Umalis siya para magkampo.,Nag-away siya sa kanyang kapatid na babae.,sanhi,1,0
400,Ang mga sundalo ay nakatago sa palumpong.,May baril sila.,Nakasuot sila ng mga unipormeng pang-kamuflaj.,sanhi,2,0
262,Ibinunyag ng lalaki ang personal na impormasyon sa therapist.,Nagtitiwala siya sa therapist.,Hindi siya sumang-ayon sa therapist.,sanhi,1,0
361,Sumailalim ang pasyente sa isang mapanganib na medikal na pamamaraan.,Ang pamamaraan ay magastos.,Inirekomenda ng mga espesyalista ang pamamaraan.,sanhi,2,0
1480,Hindi na nawawalan ng barya sa bulsa ng lalaki.,Ang kanyang bulsa ay puno ng barya.,Tinahi niya ang butas sa kanyang bulsa.,sanhi,2,1
317,Kinagat ng mga lamok ang lalaki.,Nakatulog siya sa kanyang sopa.,Nagpunta siya sa kagubatan para mag-kamping.,sanhi,2,0
149,Pinigil ng drayber ang sasakyan sa gilid ng kalsada.,Napansin niya ang isang sasakyang na-stranded.,Dumaan siya sa isang sangandaan.,sanhi,1,0
436,Siniyasat ng pulisya ang kotse ng salarin.,Naghahanap sila ng ilegal na droga.,Sinisikap nilang pilitin ang pag-amin.,sanhi,1,0
129,Matagal ang biyahe., Nagsalita ang drayber sa buong biyahe.,Nagkamali ang drayber sa pagliko.,sanhi,2,0
305,Tinanggihan ng babae ang pangalawang serbesa.,Pamilyar siya sa bartender.,Siya ang itinalagang tsuper para sa gabing iyon.,sanhi,2,0
1416,Nakikinig nang may pagkabahala ang nasasakdal.,Sumiklab ang kaguluhan sa silid-hukuman.,Inanunsyo ng hurado ang kanilang hatol.,sanhi,2,1
1200,Naramdaman ng babae ang matinding pagkapagod.,Hinablot niya ang hawakan ng pinto.,Pinukpok niya ang pinto.,sanhi,2,1
123,Naging madilim sa loob ng tren.,Dumaan ang tren sa isang lagusan.,Lumihis sa riles ang tren.,sanhi,1,0
1028,Hindi nabakunahan ang bata ngunit hindi siya nagkasakit.,Tinanggap niya ang bakuna para sa sakit.,Iniiwasan niya ang pagkakalantad sa sakit.,sanhi,2,1
1004,Nag-unat ang mananakbo.,Plano niyang tumakbo sa kahabaan ng dalampasigan.,Tinaya ng ulat-panghula ang mataas na temperatura.,sanhi,1,1
333,Wala ang pitaka ng babae.,Naglalaman ito ng maraming basura.,Iniwan niya itong walang pangangasiwa.,sanhi,2,0
90,Binasa ng batang lalaki nang malakas ang nobela para sa kanyang lolo.,Bingi ang kanyang lolo.,Bingi ang kanyang lolo.,sanhi,2,0
76,Isinara ng lalaki ang payong.,Bumaba siya sa kotse.,Lumapit siya sa gusali.,sanhi,2,0
1464,Tinanggal ko ang mga guwantes na goma.,Inaasahan kong linisin ang banyo.,Naghahanda akong hugasan ang aking mga kamay.,sanhi,2,1
461,Tumawag ang ina ng ambulansya.,Nawala ng anak niyang lalaki ang kanyang pusa.,Nahulog ang anak niyang lalaki mula sa kanyang kama.,sanhi,2,0
1184,Ang tagapagkaloob ay mukhang labis na nasasabik.,Sinusuportahan niya ang dahilan sa likod ng kanyang donasyon.,Nais niyang mapanatili ang kanyang privacy.,sanhi,1,1
93,Ang bintana ay hindi malabo.,Ang baso ay mantsado.,Bukas ang mga blinds.,sanhi,1,0
1119,Natakot ang mga kaibigan ng batang lalaki.,Plano niyang imbitahan ang babae na lumabas.,Malalamig at pawisin ang kanyang mga palad.,sanhi,2,1
1316,Halos hindi makita ng babae ang kanyang repleksyon.,Naramdaman niyang nahihiya siya.,May mantsa ang salamin.,sanhi,2,1
1396,Ang nag-i-ski ay nakabalanse gamit lamang ang kanyang katawan.,Nahulog niya ang kanyang mga ski pole.,Nabundol niya ang isang bahagi ng yelo.,sanhi,1,1
1176,Tumawa ang ama sa telebisyon ng mga bata.,Nanonood ng cartoons ang mga bata.,Oras na para matulog ang mga bata.,sanhi,1,1
336,Nahulog sa lupa ang siklista.,Tumalbog ang toro sa mangangabayo.,Hinabol ng toro ang sakay.,sanhi,1,0
1104,Palaging nasa bahay ang binatilyo.,Umaasa siya sa kanyang mga magulang.,Inabuso siya ng kanyang mga magulang.,sanhi,1,1
1336,Tumakbo ang sakay nang buong bilis.,Tumalbog ang toro sa mangangabayo.,Hinabol ng toro ang sakay.,sanhi,2,1
388,Ginaya ng batang lalaki ang kanyang nakatatandang kapatid na lalaki.,Hinahangaan ng batang lalaki ang kanyang nakatatandang kapatid na lalaki.,Nakipagbuno ang batang lalaki sa kanyang nakatatandang kapatid na lalaki.,sanhi,1,0
283,Natakot ang batang lalaki na matulog.,Nanood siya ng pelikulang nakakatakot.,Pinindot niya ang kanyang nightlight.,sanhi,1,0
454,Nag-tantrum ang batang lalaki.,Ibinahagi niya ang kanyang mga laruan sa kanyang kapatid na lalaki.,Kinuha ng kapatid niya ang kanyang mga laruan.,sanhi,2,0
1043,Nagpasya ang ehekutibo na kunin ang aplikante.,Hindi pumasa ang aplikante sa pagsusuri ng background.,May karanasan ang aplikante para sa trabaho.,sanhi,2,1
1237,Itinago ng lalaki ang kanyang mga paa.,Nagkaroon siya ng butas sa kanyang medyas.,Nahulog niya ang martilyo sa kanyang paa.,sanhi,1,1
273,Napansin ng lalaki ang babae.,Naamoy niya ang pabango niya.,Nakatalikod siya sa kanya.,sanhi,1,0
1463,Hindi ako gaanong nag-alala na mawala ang susi.,Inihiga ko ang susi sa kandado.,Gumawa ako ng kopya ng susi.,sanhi,2,1
