Unnamed: 0,gold_label,sentence1,sentence2
0,neutral,"Maaari mo ring samantalahin ang aming espesyal na alok na 2-taong pagiging miyembro sa halagang $30, na may halos 60% na diskwento sa aming karaniwang presyo para sa 2 taon.",Magkakahalaga lang ito ng $30 kung sasali ka sa susunod na dalawang araw.
1,neutral,Kaya't patuloy silang lumilikha ng isang hindi nakapirming mundo kung saan tanging ang medyo kamakailang nakaraan ang may balidong datos.,Ang mga hipotetikong mundo na ito ay ginagamit upang mahulaan ang mga pattern ng panahon.
2,neutral,"Gayunpaman, natapos ako at umuwi ako ng alas-6:30 ngayong araw, at ganoon ang naging araw ko.",Ginugol ko ang karamihan ng araw sa pag-aayos ng isang kumplikadong isyu sa pagsingil ng customer.
3,neutral,Ang batas ay hindi nagliligtas sa indibidwal kundi sa komunidad o sa buong bansa.,Ang batas ay tutubos sa Amerika.
4,neutral,"Ang iyong determinasyon ang nagligtas sa akin mula sa isang kakila-kilabot na panganib, inamin niya.","Hindi niya gusto na tulungan siya nito, ngunit nagpasalamat pa rin siya."
5,neutral,"Sa ibang bahagi ng hardin ng prinsipe, sa isang makabagong gusaling tinatawag na Sailor's House (Casa de Marinos), malalaman mo kung ano ang nangyari sa kaakit-akit na pangkat ng Tagus ng hariang hukbong-dagat.",Ang Bahay ng Mamaril ay dinisenyo ng isang tanyag na Italyanong arkitekto.
6,neutral,"Sa katunayan, ang salitang quark ay nasa OED bilang pandiwa na nangangahulugang 'umkroak,' na may mga sanggunian noong ika-19 na siglo tungkol sa mga palaka, uwak, at tagak.",Karamihan sa mga tao ay hindi alam ang pinagmulan ng salitang quark at na ito ay tumutukoy sa tunog na ginagawa ng palaka.
7,neutral,at maaari rin silang maging napakabait pagkatapos silang masanay.,Mabilis silang nagbabago habang sumasailalim sa pagsasanay.
8,neutral,Ito ang legal na saligan ng nostalhikong pagyakap ni Justice Anthony Kennedy sa mga karapatan ng mga estado.,Pabor si Kennedy sa karapatan ng mga estado pagdating sa aborsyon.
9,neutral,Ang ikalawang antas ng kabulaanan ay ipinagtatanggol ni Brock si Hillary upang itaguyod ang sarili niyang eksklusibong iskandalo.,Naniniwala ang ilang tao na hindi totoo na ipinagtatanggol ni Brock si Hillary upang itaas ang sarili niya.
