gold_label,sentence1,sentence2
neutral,"Maaari mo ring samantalahin ang aming pantanging 2-year na pag-aalok ng pagiging miyembro sa $30, isang ipon ng halos 60% sa aming regular na 2 taon.",Ito'y nagkakahalaga lamang ng $30 kung sasama ka sa susunod na dalawang araw.
neutral,"Samakatuwid, sila'y patuloy na lumilikha ng isang daigdig na walang kinalaman sa mga bagay - bagay kung saan ang nakalipas lamang ay may mabisang impormasyon.",Ang guniguning mga daigdig na ito ay ginagamit upang hulaan ang mga huwaran ng lagay ng panahon.
neutral,"Sa paano man, kaya ako'y nakatapos ng pag - uwi ng bahay sa ganap na 6:30 ngayon at iyan ang araw ko.",Ginugol ko ang kalakhang bahagi ng araw sa pakikitungo sa isang masalimuot na usapin tungkol sa pagbabayad ng kuwenta ng parokyano.
neutral,Hindi tinubos ng batas ang indibiduwal kundi ang pamayanan o ang bansa sa kabuuan.,Tutubusin ng batas ang Amerika.
neutral,"Ang iyong pasiya ang nagligtas sa akin mula sa isang kakila - kilabot na panganib, sabi niya.","Ayaw niyang tulungan siya ni Jesus, pero nagpapasalamat pa rin siya."
neutral,"Sa ibang dako naman sa hardin ng prinsipe, sa isang modernong gusali na tinatawag na Bahay ng Sailor (Casa de Marinos), malalaman mo kung ano ang naging kakatwang Tagus squadron ng plota ng hari.",Ang Bahay ng Sailor ay dinisenyo ng isang kilalang arkitektong Italyano.
neutral,"Sa katunayan, ang salitang quark ay nasa OED bilang isang pandiwa na nangangahulugang `croak,' na may 19th-century na mga reperensiya sa mga palaka, rook, at heron.",Karamihan sa mga tao ay hindi malaman ang pinagmulan ng salitang quark at ito ay tumutukoy sa ingay na gawa ng isang palaka.
neutral,at maaari rin silang maging napakabait pagkatapos na sila'y masanay,Sila'y mabilis na nagbabago samantalang nagsasanay.
neutral,Ito ang legal na pag - uulat ng mga karapatan ni Hukom Anthony Kennedy na tinatanggap ng mga estado.,Kennedy ang mga karapatan pagdating sa aborsiyon.
neutral,Ang ikalawang antas ng falsity ay na ipinagtatanggol lamang ni Brock si Hillary upang itaas ang sarili niyang iskandalong proprietaryal.,Naniniwala ang ilan na mali ang pagtatanggol ni Brock kay Hillary para itaas ang kaniyang sarili.
neutral,"Ang Feisty, tulad ng fizzle, ay nagsimula bilang Middle English fysten, kamaong `to fart.",May 100 taon nang umiiral ang kasiglahan.
neutral,Sa palagay ko'y hindi ko ito tinatanggap nang kusa.,"Ayaw kong tanggapin ito, subalit ako'y maaaring makumbinsi."
neutral,Ang mga sistema ng likas na yaman ng tao ay pinagsama - sama at ang bagong mga gusali ng korporasyon ay mabilis na binigyang - kahulugan upang tiyakin ang patuloy na pagsuporta sa pinalaking base ng parokyano.,"Sa pamamagitan ng pag - aayos sa mga sistema ng likas na yaman ng tao, ang silid ay ginawa para sa bagong mga kayarian ng korporasyon."
neutral,"Bago mo ako paluin, bakit hindi mo muna ako bigyan ng isang malaking baso ng gatas na tsokolate?",Gustung - gusto kong uminom ng tsokolateng gatas at magrelaks nang kaunti yamang alam kong ako'y magulo.
neutral,Hindi ito lihim sa mga nagtitinda ng musika.,Alam na ng mga negosyante ng musika ang tungkol sa isyung ito bago pa dumating sa publiko ang balita isang buwan na ang nakalipas.
neutral,"Ang mga Nerd, na pumapasok sa mga silid - aralan sa ekonomiya at computer, ay may higit pang kalagayan na wala nang pag - asa.",Ang mga Nerd ay hindi mabuti sa interaksiyong panlipunan.
neutral,"Kaya nga pala, tinatawag kong Ramona ang tawag ko dahil sa may tanong ako, para ba akong, Okay, hayaan mo akong magmadali, at may tanong ako tungkol sa isang bagay na ginagawa ko.",Kailanman ay hindi ako nagkaroon ng pagkakataon na magtanong.
neutral,Sapagka't ayon sa larawan ng Dios ay ginawa niya si Adan.,Tuwang - tuwa si Adan na siya'y ginawa ayon sa larawan ng Diyos.
neutral,Hindi mo tiyak kung kanino ka panig.,Hindi namin alam kung sino ang sinusuportahan ninyo sa halalan.
neutral,"Habang dumaraan ka sa mga ito ay makikita mo ang isang matandang tsiminea na nagsisimula sa itaas ng hanay ng mga punungkahoy, isang tiyak na palatandaan na ang nayon ay dating bahagi ng isang hacienda.","Bukod sa iba pang mga bagay, ang tsiminea ay nagpapahiwatig na ang nayon ay dating bahagi ng isang hacienda."
neutral,Subalit ang tanong ay hindi man lamang maitatanong kung ang mga detalye ay mali.,Ang basta pag - aalis sa mga detalye ay gagawa sa tanong na mas madaling maunawaan.
neutral,"Nagpatuloy kami, at ito'y naging isang karera mula noon.",Nagsimula na ang takbuhan mula pa noong kami'y apat na taóng gulang.
neutral,"Sa mga dulo ng sanlinggo maaari kang sumama sa mga tagaroon sa Parque de Palapas, kung saan ang mga uri ng rock, salsa, at katutubong musika ay maaaring magsama - sama tungo sa nakalilitong cacophony.",Ang Parque de Palapas ay kung saan ang mga tao ay may mga ambulansya sa lahat ng panahon.
neutral,Kilala ang Culebra bilang Isla ng Birheng Kastila hanggang sa pag-aalsa nito ang Amerikano sa kalagitnaan sa pagitan ng Puerto Rico at San Tomas sa Kapuluang Birhen ng US.,Ang Culebra ay nasa pagitan ng Puerto Rico at St. Thomas sa US Virgin Islands.
neutral,"Nagtaka ako sa pagbanggit ni Rebecca Christian sa Pinagpalang Maging ang mga Salitang Bind' [XVI,3] ng awit ni Vikki Carr, `Is That All Is?",Ipinaliwanag ni Rebecca na hindi ko nauunawaan ang mga salita sapagkat ako'y ignorante.
neutral,Ang mga natuklasang Pranses ay pangunahing labing-walong milyong mga reseta ay napunan para sa fen-hen sa Estados Unidos noong nakaraang taon.,Angaw - angaw na mga tao ang uminom ng isang gamot para sa diyeta na nagpapayat sa kanila ng 20 libra bawat isa.
neutral,"Halimbawa, maaaring hilingin sa mga empleado na gamitin ang agencydesignated charge card para sa otel at iba pang mga gastos.",Kailangang ipataw ng mga empleado ang lahat ng kanilang pagkain sa kard.
neutral,"Subalit... ngunit... sa barkong ito... ay gumawa ang opisyal ng isang gawa ng kawalang - kaya, at, palibhasa'y sumuko sa kaniyang kalituhan, siya'y biglang tumahimik.",Ang opisyal ay nabigla sa pagsusuka sa kubyerta.
neutral,"Para sa fiscal year at susunod, ang paaralan ng batas ay hinihiling upang masipsip ang mga pagbawas sa estado nito apropriasyon at tumaas na gastos sa kalusugan na may kabuuang higit sa $400,000.",Ang paaralan ng abogasya ang unang programa na humarap sa pagbabawas ng badyet.
neutral,Magandang i uri ng sariling kompyuter mayroon tayong dalawang PC sa bahay ngunit walang sinuman sa atin ang talagang nagmamay-ari ng um na parehong hindi sila parehong uri ng trabahong magkaugnay at,Mayroon akong Apple at HP computer sa bahay.
neutral,"Ang tunog, mga 3 km (2 milya) ang diyametro, ay inaakalang isang pagkalaki - laking caldera na nabuo pagkatapos ng isang malakas na pagsabog ng bulkan.","Ang 2 milyang tunog ay maaaring dahil sa maraming bagay, pati na sa pagputok ng bulkan."
neutral,Ang Ha! na Wolverstone ay naglabas ng isang larawan ng nakakutyang katuwaan.,Inakala ni Wolverstone na nakakatawa iyon.
neutral,"12HEI ang multi-city ang National Morbidity, Diversity, at Air Polusyon Study (NMMAPS).",12HEI ay tuwirang nauugnay sa polusyon sa hangin.
neutral,magkaroon ako ng boot at i ay kinailangang ibalik ito ng dalawang beses dahil sa parehong bahagi ng pagkabigo at uh ito ay hindi pa rin makakuha ng isang tunay na magandang larawan,Halos isang linggo lamang gumagana ang VCR at pagkatapos ay ito'y muling binabasag.
neutral,"Si Pitt, na pinanood ang eksena mula sa quarter-deck rail, ay nagsasabi sa atin na ang kanyang pagkapanginoon ay kasing laki ng isang parson sa isang nakabitin.",Hindi pa kailanman nakita ni Pitt ang kaniyang pagkapanginoon na para bang siya'y libingan noon.
neutral,"Subalit ang kaniyang panahon ay umubos ng panahon sa paglalagay ng bagong mga opisyal sa lugar at paggawa sa mga pundasyong dokumento ng isang bagong patakaran sa depensa, ang quadrnial defense review, ang giya sa pagpaplano ng depensa, at ang umiiral na mga plano ng konstituensiya.",Ang pangwakas na dokumento ng patakaran sa depensa ay mahigit na limang daang pahina ang haba.
neutral,Kaya nanatili siya sa Augusta pagkatapos noon?,Nanatili ba siya sa Augusta pagkatapos ng kaguluhan?
neutral,Hindi namin alam kung ano ang U2 at walang nakaaalam ng anuman tungkol sa isang U2.,Hindi namin alam kung ano ang itatawag sa bagay na nakita namin sa himpapawid.
neutral,"Bunga nito, hindi pinahalagahan ng E.U. ni ng mga taga - Saudi ang lahat ng sukat ng ugnayang bilateral, pati na ang papel ng Saudi sa mga estratehiya ng E.U. upang itaguyod ang proseso ng kapayapaan sa Gitnang Silangan.",Inanyayahan ng mga Saudi ang sugo ng US na pumunta sa proyektong kapayapaan sa gitnang silangan.
neutral,yah sapagkat ito'y tiyak na nagamit sa pamamagitan ng gilingan subalit uh,Sana'y hindi na ito mangyari yamang ito'y totoong nakapanghihina ng loob.
neutral,"Iyan ay kakaiba sa bagay na ako, uh, ay gumugol, uh, mga 16 na taon ng aking karera sa Pantanging mga Gawain.",Ang paborito kong trabaho ay sa mga Pantanging Gawain.
neutral,Kayoa ay may isang buong kumpol ng mga bagay na sabay - sabay na binasag ng gayong uri ng mga bagay,Ang ilan sa mga nasirang bagay ay mahalaga.
neutral,"Isang kilalang protonent ng Mexican Spanish folk sa Southwest at California ay si Charles F. Lummis (1859-1928), isang self-intelektuwal photographer, etnologist, musicologist, journalist, at ang tagapagtatag ng Southwest Museum sa Los Angeles.",Katawa-tawa si Charles F. Lummis.
neutral,"Bunga nito, itinaas ang kaniyang sahod at ang kaniyang iba pang mga palugit ay lubhang tumaas, mula sa humigit - kumulang $465 tungo sa $3,925 isang buwan, nananatili sa antas na iyon hanggang Disyembre 2000.",Kailangan niya ng higit pang salapi upang makapaglakbay.
neutral,"Tungkol sa kaniya sa baywang, na kung saan noong nakaraang gabi ay mapayapang - payapa, mayroong magulong aktibong pagmamadali ng mga anim na pung lalaki.",Ang gabing ito ay mas abala kaysa karaniwan dahilan sa isang okasyon na ginaganap.
neutral,"Katulad ng lahat ng mga regalo sa Institute, 100% ng inyong kontribusyon ay tuwirang gagamitin para sa pananaliksik.",Bawat kusing ay nagtutungo sa pananaliksik sa kanser.
neutral,Ang baku - bakong kabundukan ng Serra de Tramuntana ay umaalimpuyo sa dagat nang gayon na lamang katarik anupat iilan lamang ang lugar na mararating at iisa lamang ang daungan at daungan na may anumang laki sa kahabaan ng baybayin.,Ang mga bundok ay palaging may pagguho ng lupa para sa mga daungan ay hindi madaling itinayo roon.
neutral,"Ang First Wives Club, isang paghihiganti-komedya na tungkol sa tatlong inabandonang asawa, ay mas nagresulta sa unang weekend nito kaysa sa anumang ibang pelikulang pambabae sa kasaysayan.","Ang mga bituin at ang pag-arte, higit pa sa plot line ng First Wives Club, ay tumulong sa pagtatakda ng mga benta ng record box office."
neutral,"Sa paano man ito ay umabot, mayroon kaming mga uh, ah, hindi ko natatandaan ang mga numero.",Hindi ko matandaan kung ilan ang aming mga manggagawa.
neutral,Ang pinakamabuting bagay na maaaring sabihin tungkol kina Podhoretz at Decter ay na ang kanilang biyolohikal na mga orasan ay hindi maaaring magkaroon ng marami pang minutong natitira sa mga ito.,Ang Decter ay 85 taóng gulang.
neutral,"Kaya, posibleng piliin ang kinakailangang mga piraso ng impormasyon sa maingay na kapaligiran, kung isasaalang - alang ang mga ekspresyon ng mukha, mga kumpas at iba pang mga pahiwatig sa konteksto.",Mauunawaan mo kung ano ang ipinababatid sa pamamagitan ng mga ekspresyon ng mukha at mga kumpas ng kamay kahit na hindi mo marinig ang sinasabi.
