id,premise,choice1,choice2,question,label,mirrored,premise_form,choice1_form,choice2_form
1283,Hirap na hirap na makatulog ang batang lalaki.,Binuksan niya ang nightlight niya.,Nanood siya ng pelikulang horror.,sanhi,1,1,1,1,1
207,Pinalayas ang mga nangungupahan sa apartment.,Nakaligtaan nilang bayaran ang kanilang upa.,Nagkasundo sila ng kanilang kasero.,sanhi,1,0,1,1,1
1317,Hindi mapakali ang lalaki kinaumagahan.,Nag-camping siya sa kakahuyan.,Nakatulog siya sa kanyang sopa.,sanhi,2,1,1,1,1
1006,Nanalo ang pulitiko sa eleksyon.,Walang bumoto sa kanya.,Nagpatakbo siya ng mga negatibong patalastas sa kampanya.,sanhi,2,1,1,1,1
170,Natapon ang alikabok mula sa mesa.,Tinanggal ko ang mga libro mula sa mesa.,Pinunasan ko ang mesa gamit ang isang tela.,sanhi,2,0,1,1,1
194,Nakaramdam ng pangungulila ang bata.,Umalis siya papunta sa kampo.,Nakipagtalo siya sa kaniyang kapatid na babae.,sanhi,1,0,1,1,1
400,Ang mga sundalo ay nagtago sa mga palumpong.,Armado sila ng mga riple.,Nakasuot sila ng mga uniporme ng camouflage.,sanhi,2,0,0,1,1
262,Ibinunyag ng lalaki ang personal na impormasyon sa therapist.,Nagtiwala siya sa therapist.,Hindi siya sang-ayon sa sinabi ng therapist.,sanhi,1,0,1,1,1
361,Sumailalim ang pasyente sa mapanganib na medikal na pamamaraan.,Magastos ang pamamaraan.,Inirerekomenda ng mga espesyalista ang pamamaraan.,sanhi,2,0,1,1,1
1480,Hindi na nawalan ng mga barya sa bulsa ang lalaki.,Punong-puno ng mga barya ang kaniyang bulsa.,Tinahi niya ang butas sa kanyang bulsa.,sanhi,2,1,1,1,1
317,Nakagat ng lamok ang lalaki.,Nakatulog siya sa kanyang sopa.,Nag-camping siya sa kakahuyan.,sanhi,2,0,1,1,1
149,Huminto ang drayber sa gilid ng kalsada.,Napansin niya ang isang nakaparadang sasakyan.,Dumaan siya sa isang interseksyon.,sanhi,1,0,1,1,1
436,Hinalughog ng mga pulis ang sasakyan ng salarin.,Naghahanap sila ng mga ilegal na droga.,Sinusubukan nilang humingi ng tawad.,sanhi,1,0,1,1,1
