Unnamed: 0,id,sentence1,sentence2,label
0,29568,"Ang wawa ng Bitten Kill ay sa Silangang Dorset, Vermont, at ang pinagmumulan ng ilog ay sa Easton, New York.","Ang bunganga ng Bitten Kill ay nasa Silangang Dorset, Vermont, at ang pinagmulan ng ilog ay sa Easton, New York.",1
1,45829,"Ang La storyad (Pambansang salin : The Tempest, tinaguriang The Storm by Univision ) ay isang 2013 Mexican telenovela na ginawa ni Salvador Mejía Alejandre para sa Televisa.","Ang La Tempestad ( International Translation : The Storm, na tinatawag ng Univision the Storm ) ay isang 2013 Mexican telenovela na ginawa ni Salvador Mejía Alejandre para sa Televisa.",1
2,46990,"Magmula noong 2006, nang ilagay ni Josephine Alhanko ang kanyang sarili sa Top 20, si Cerljen ang unang delegado mula Sweden hanggang sa pandaigdigang final.",Si Cerljen rin ang unang delegado mula sa Sweden sa pandaigdigang final mula noong 2006 nang ilagay si Josephine Alhanko sa Top 20.,1
3,13893,"Napangasawa niya sina Lady Florence Jane Taylour, anak na babae ni Amelia Thompson, 3rd Marquess of Headfort at Thomas Taylour, noong 5 Agosto 1875.","Napangasawa niya sina Lady Florence Jane Taylour, ang anak na babae ni Amelia Thompson, 3rd Marquess of Headfort at Thomas Taylour, noong 5 Agosto 1875.",1
4,41986,Ang Elati ay isang nayon sa Kozani Regional Unit sa Gresya.,"Ang Elati ay isang baryo sa rehiyunal na yunit ng Kozani, Gresya.",1
5,1690,Mayroon siyang apat na kapatid : kambal na sina Hope Gimbel at Caral Gimbel at ang kambal na sina Peter Gimbel at David Gimbel.,Mayroon siyang apat na kapatid : kambal Peter Gimbel at David Gimbel ; at kambal na sina Hope Gimbel at Caral Gimbel.,1
6,3098,"Bukod dito, sila ay pisikal na aktibo, malayang matuto at sabik na galugarin.","Bukod dito, sila ay aktibo sa pisikal na aktibo, malayang matuto at sabik na galugarin.",1
7,26108,"Si Solomons ay ipinanganak sa Orsett, Essex at pinalaki kasama ang kanyang apat na kapatid sa Thorpe Bay ng kanyang ina at ama.","Si Solomons ay ipinanganak sa Orsett, Essex at kasama ang kanyang apat na kapatid sa Thorpe Bay na pinalaki ng kanyang ina at kanyang ama.",1
8,26641,"Anuman ang mabilis na kalungkutan, siya ay kilala sa kanyang espirituwal na pang-unawa at disiplina.","Kilala siya dahil sa kanyang espirituwal na pang-unawa at disiplina, anuman ang mabilis na pagdurusa.",1
9,23768,"Ang iba pang mga imbitasyon ay sumunod at higit pang mga kapatid na babae ang dumating para sa isang ospital sa Iloilo, mga paaralan sa Vigan, Tuguegarao at Maynila at isang leprosaryo sa Culion.","Ang iba pang mga imbitasyon ay sumunod at higit pang mga Sister ang dumating para sa isang ospital sa Iloilo, mga paaralan sa Vigan, Tuguegarao, at Maynila, at isang Leprosarium sa Culion.",1
