id,sentence1,sentence2,label,sentence_1_form,sentence_2_form
29568,"Ang bunganga ng Batten Kill ay nasa East Dorset, Vermont, at ang pinagmulan ng ilog ay nasa Easton, New York.","Ang bunganga ng Batten Kill ay nasa East Dorset, Vermont, at ang pinagmumulan ng ilog ay nasa Easton, New York.",1,0,0
45829,"Ang La tempestad ( International translation : The Tempest , binansagang The Storm by Univision ) ay isang 2013 Mexican telenovela na ginawa ni Salvador Mejía Alejandre para sa Televisa.","Ang La Tempestad (Internasyonal na Salin: The Storm, na tinatawag ng Univision na the Storm) ay isang telenovela sa Mexico noong 2013 na prinodyus ni Salvador Mejía Alejandre para sa Televisa.",1,0,0
46990,"Mula noong 2006, nang mapasama si Josephine Alhanko sa Top 20, si Cerljen ang unang delegado mula sa Sweden sa internasyonal na final.",Si Cerljen din ang unang delegado mula sa Sweden sa international final simula noong 2006 nang makapasok si Josephine Alhanko sa Top 20.,1,1,1
13893,"Pinakasalan niya si Lady Florence Jane Taylor , anak ni Amelia Thompson , 3rd Marquess ng Headfort at Thomas Taylor , noong 5 Agosto 1875 .","Pinakasalan niya si Lady Florence Jane Taylour, ang anak nina Amelia Thompson, Ika-3 Marquess ng Headfort at Thomas Taylour, noong 5 Agosto 1875.",1,1,1
41986,Ang Elati ay isang nayon sa Kozani Regional Unit sa Greece.,"Ang Elati ay isang nayon sa rehiyonal na yunit ng Kozani, Gresya.",1,0,0
1690,Mayroon siyang apat na kapatid: ang kambal na sina Hope Gimbel at Caral Gimbel at ang kambal na sina Peter Gimbel at David Gimbel.,Siya ay may apat na kapatid: kambal na sina Peter Gimbel at David Gimbel; at kambal na sina Hope Gimbel at Caral Gimbel.,1,1,0
3098,"Bilang karagdagan, sila ay pisikal na aktibo, malayang matuto at sabik na tuklasin.","Bukod pa rito, sila ay aktibong pisikal na aktibo, malayang matuto at sabik na maggalugad.",1,0,0
26108,"Si Solomons ay ipinanganak sa Orsett, Essex at lumaki kasama ang kanyang apat na kapatid sa Thorpe Bay ng kanyang ina at ama.","Si Solomons ay ipinanganak sa Orsett, Essex at kasama ang kanyang apat na kapatid sa Thorpe Bay na pinalaki ng kanyang ina at ama.",1,0,0
26641,"Anuman ang mabilis na kalungkutan, kilala siya sa kanyang espirituwal na pag-unawa at disiplina.","Kilala siya sa kanyang espirituwal na pag-unawa at disiplina, sa kabila ng mabilis na pagdurusa.",1,1,1
23768,"Sumunod ang iba pang mga imbitasyon at dumating ang iba pang mga madre para sa isang ospital sa Iloilo, mga paaralan sa Vigan, Tuguegarao at Maynila at isang ketongin sa Culion.","Sumunod ang iba pang mga imbitasyon at dumating ang mas maraming madre para sa isang ospital sa Iloilo, mga paaralan sa Vigan, Tuguegarao, at Maynila, at isang Leprosarium sa Culion.",1,1,1
