gold_label,sentence1,sentence2
neutral,"Maaari mo ring samantalahin ang aming espesyal na alok para sa 2-taong membership sa halagang $30, isang matitipid na halos 60% mula sa aming regular na 2-taong rate.",Nagkakahalaga lamang ito ng $30 kung sasali ka sa susunod na dalawang araw.
neutral,"Samakatuwid, patuloy silang lumilikha ng isang hindi nakapirming mundo kung saan tanging ang medyo kamakailang nakaraan lamang ang may wastong datos.",Ang mga hipotetikal na mundong ito ay ginagamit upang mahulaan ang mga padron ng panahon.
neutral,"Gayunpaman, kaya natapos ko ang pag-uwi ng 6:30 ngayon at iyon ang araw ko.",Ginugol ko ang halos buong araw sa pag-aasikaso ng isang kumplikadong isyu sa pagsingil ng customer.
neutral,Hindi tinutubos ng batas ang indibidwal kundi ang komunidad o ang bansa sa kabuuan.,Tutubusin ng batas ang Amerika.
neutral,"""Ang iyong katatagan ang nagligtas sa akin mula sa isang kakila-kilabot na panganib,"" pag-amin niya.","Ayaw niya sanang tulungan siya nito, bagama't nagpapasalamat pa rin siya."
neutral,"Sa ibang lugar sa hardin ng prinsipe, sa isang modernong gusali na tinatawag na Bahay ng mga Marino (Casa de Marinos), matutuklasan mo ang nangyari sa kakaibang Tagus squadron ng maharlikang plota.",Ang Bahay ng mga Marino ay dinisenyo ng isang sikat na arkitektong Italyano.
neutral,"Sa totoo lang, ang salitang quark ay nasa OED bilang isang pandiwa na nangangahulugang 'kokak,' na may mga pagtukoy noong ika-19 na siglo sa mga palaka, uwak, at tagak.",Hindi alam ng karamihan ang pinagmulan ng salitang quark at na tumutukoy ito sa ingay na nililikha ng isang palaka.
neutral,at maaari rin silang maging napakabait pagkatapos nilang masanay,Mabilis silang nagbabago habang sumasailalim sa pagsasanay.
neutral,Ito ang legal na saligan ng nostalhik na pagyakap ni Hukom Anthony Kennedy sa mga karapatan ng mga estado.,Pinapaboran ni Kennedy ang mga karapatan ng estado pagdating sa aborsyon.
neutral,Ang pangalawang antas ng kasinungalingan ay ang pagtatanggol ni Brock kay Hillary para lamang iangat ang sarili niyang iskandalo.,Naniniwala ang ilang tao na mali ang pagdedepensa ni Brock kay Hillary para iangat ang sarili niya.
neutral,"Ang masigla, parang fizzle, ay nagsisimula sa Gitnang Ingles na fysten, fisten `to fart`.",Ang Fiesty ay umiiral na sa loob ng 100 taon.
neutral,Huwag mong isipin na tinatanggap ko ito nang kusa.,"Hindi ko man gustong tanggapin, pero puwede naman akong makumbinsi."
neutral,Pinagsama-sama ang mga sistema ng yamang-tao at mabilis na tinukoy ang mga bagong istruktura ng korporasyon upang matiyak ang patuloy na suporta sa pinalawak na base ng mga customer.,"Sa pamamagitan ng pagsasama-sama ng mga sistema ng yamang-tao, nalikha ang espasyo para sa mga bagong istruktura ng korporasyon."
neutral,"Bago mo ako paluin, bakit hindi mo muna ako painumin ng isang malaking baso ng chocolate milk?",Gusto ko sanang uminom ng chocolate milk at magpahinga kahit kaunti dahil alam kong nagkamali ako.
neutral,Hindi ito sikreto sa mga nagtitingi ng musika.,Alam na ng mga nagtitingi ng musika ang isyung ito bago pa man ito kumalat sa publiko isang buwan na ang nakalilipas.
neutral,"Ang mga Nerd, na nagkukubli sa mga silid-aralan ng economics at computer, ay may mas kawalan ng pag-asa na kalagayan.",Hindi magaling makihalubilo ang mga Nerd.
neutral,"Kaya kahit papaano, tinawagan ko si Ramona dahil may tanong ako tungkol sa, parang sabi ko, Sige, bilisan ko na lang, at may tanong ako tungkol sa isang bagay na ginagawa ko.",Hindi ako nagkaroon ng pagkakataong magtanong.
neutral,sapagkat ayon sa wangis ng Diyos ay nilikha niya si Adan.,Tuwang-tuwa si Adan na siya ay nilikha ayon sa wangis ng Diyos.
neutral,Hindi ka sigurado kung malinaw sa iyo kung kaninong panig ka.,Hindi namin alam kung sino ang susuportahan mo sa eleksyon.
neutral,"Habang nadadaanan mo ang mga ito, maaari mong makita ang isang lumang tsimenea na nababasag sa itaas ng linya ng mga puno, isang tiyak na senyales na ang nayon ay dating bahagi ng isang asyenda.","Ang tsimenea, bukod sa iba pang mga bagay, ay nagpapahiwatig na ang nayon ay dating bahagi ng isang asyenda."
neutral,Pero hindi na maitatanong ang tanong kung mali ang mga detalye.,Mas mauunawaan mo ang tanong kung lilinawin mo lang ang mga detalye.
neutral,"Naglibot kami, at naging karera na ito mula noon.",Nagsimula na ang karera simula noong apat na taong gulang pa lang kami.
neutral,"Tuwing Sabado at Linggo, maaari kang sumama sa mga lokal sa Parque de Palapas, kung saan ang mga himig ng rock, salsa, at folk music ay maaaring maghalo sa isang nakalilitong ingay.",Ang Parque de Palapas ay kung saan palaging nag-iihaw ang mga tao.
neutral,"Ang Culebra ay kilala bilang Spanish Virgin Island hanggang sa pagsakop ng mga Amerikano, na nasa kalagitnaan ito sa pagitan ng Puerto Rico at St. Thomas sa US Virgin Islands.",Ang Culebra ay nasa pagitan ng Puerto Rico at St. Thomas sa US Virgin Islands.
neutral,"Naguluhan ako sa pagbanggit ni Rebecca Christian sa ""Blessed Be the Words That Bind"" [XVI,3] ng kanta ni Vikki Carr na ""Is That All There Is?""",Ipinaliwanag ni Rebecca na hindi ko maintindihan ang mga salita dahil isa akong ignorante at tanga.
neutral,Ang mga natuklasan ng mga Pranses ay karaniwang labingwalong milyong reseta ang napunan para sa fen-phen sa Estados Unidos noong nakaraang taon.,Milyun-milyong tao ang uminom ng gamot sa pagdidiyeta na nagpababa sa kanila ng 20 libra bawat isa.
neutral,"Halimbawa, maaaring kailanganin ng mga empleyado na gamitin ang charge card na itinalaga ng ahensya para sa hotel at ilang iba pang mga gastos.",Kinailangang singilin ng mga empleyado ang lahat ng kanilang pagkain sa card.
neutral,"Pero... pero... sakay ng barkong ito...? Nagpakita ng kawalan ng kakayahan ang opisyal, at, sumuko sa kanyang pagkalito, biglang tumahimik.",Nabigla nang walang malay ang opisyal nang masuka ang barko sa kubyerta.
neutral,"Para sa taong piskal na ito at sa susunod, kinakailangang tanggapin ng paaralan ng abogasya ang mga pagbawas sa paglalaan nito ng estado at pagtaas ng mga gastos sa kalusugan na may kabuuang mahigit $400,000.",Ang paaralan ng abogasya ang unang programa na naharap sa mga pagbawas sa badyet.
neutral,"uhm medyo may-ari ako ng computer. May dalawa kaming PC sa bahay pero wala talaga kaming dalawa. uhm pareho, hindi pareho, medyo may kinalaman sa trabaho at",Mayroon akong Apple at HP computer sa bahay.
neutral,"Ang tunog, na may diyametrong humigit-kumulang 3 km (2 milya), ay pinaniniwalaang isang malaking caldera na nabuo matapos ang isang malakas na pagsabog ng bulkan.","Ang 2 milyang tunog ay maaaring sanhi ng maraming bagay, kabilang ang isang pagsabog ng bulkan."
neutral,Ha! Naglabas si Wolverstone ng isang mapangutyang bulalas ng tuwa.,Naisip ni Wolverstone na nakakatawa iyon.
neutral,"Itinaguyod ng 12HEI ang National Morbidity, Mortality, and Air Pollution Study (NMMAPS) para sa multi-city na isinasagawa ng mga lungsod.",Ang 12HEI ay direktang nauugnay sa polusyon sa hangin.
neutral,"May VCR ako at kinailangan ko itong ibalik nang ilang beses dahil sa parehong sira ng piyesa at uh, hindi pa rin ito nakakakuha ng magandang larawan.",Gumagana lang ang VCR nang halos isang linggo at pagkatapos ay sira na naman.
neutral,"Si Pitt, na nanood ng eksena mula sa quarter-deck rail, ay nagsabi sa atin na ang kanyang kamahalan ay kasingseryoso ng isang pari na binibitay.",Hindi pa nakita ni Pitt ang kanyang kamahalan na kasingseryoso niya noon.
neutral,"Ngunit naubos ang kanyang oras sa pagpapalit ng mga bagong opisyal at pagtatrabaho sa mga dokumentong pundasyon ng isang bagong patakaran sa depensa, ang quadrennial defense review, ang gabay sa pagpaplano ng depensa, at ang mga umiiral na contingency plan.",Ang huling dokumento ng patakaran sa depensa ay mahigit limang daang pahina ang haba.
neutral,Kaya nanatili siya sa Augusta pagkatapos noon?,Nanatili ba siya sa Augusta pagkatapos ng kaguluhan?
neutral,Hindi namin alam kung ano ang U2 at walang nakakaalam tungkol sa U2 noon.,Hindi namin alam kung ano ang itatawag sa bagay na nakita namin sa hangin.
neutral,"Dahil dito, hindi pinahalagahan ng U.S. o ng mga mamamayang Saudi ang lahat ng aspeto ng bilateral na relasyon, kabilang ang papel ng Saudi sa mga estratehiya ng U.S. upang isulong ang proseso ng kapayapaan sa Gitnang Silangan.",Inimbitahan ng mga Saudi ang embahador ng US na tumulong sa proyektong pangkapayapaan para sa Gitnang Silangan.
neutral,oo dahil uh siguradong dumaan na ito sa proseso pero uh,Sana hindi na lang nangyari ito dahil nakakapanghina ng loob.
neutral,Medyo kakaiba iyon dahil ginugol ko ang mga 16 na taon ng aking karera sa mga Espesyal na Aktibidad.,Ang paborito kong trabaho ay sa Mga Espesyal na Aktibidad.
neutral,"oo, marami silang mga bagay na sabay-sabay na nasira",Mahalaga ang ilan sa mga sirang gamit.
neutral,"Isang kilalang tagapagtaguyod ng alamat ng mga Espanyol na Mehikano sa Timog-Kanluran at California ay si Charles F. Lummis (1859-1928), isang potograpo, etnologist, musikologo, mamamahayag, at ang nagtatag ng Southwest Museum sa Los Angeles.",Nakakatawa si Charles F. Lummis.
neutral,"Dahil dito, itinaas ang kanyang suweldo at ang kanyang iba pang mga allowance stipend ay tumaas nang malaki, mula humigit-kumulang $465 patungong $3,925 kada buwan, na nanatili sa antas na iyon hanggang Disyembre 2000.",Kailangan niya ng mas maraming pera para makapaglakbay.
neutral,"Sa paligid niya sa baywang, kung saan buong gabi ay napakapayapa, ay may isang baliw na abalang-abala ng mga animnapung lalaki.",Mas naging abala ang gabing ito kaysa dati dahil sa isang kaganapang gaganapin.
neutral,"Tulad ng lahat ng donasyon sa Instituto, 100% ng inyong kontribusyon ay direktang gagamitin para sa pananaliksik.",Bawat sentimo ay napupunta sa pananaliksik sa kanser.
neutral,Ang matarik na bundok ng Serra de Tramuntana ay bumababa sa dagat nang napakatarik dito kaya kakaunti ang mga daanan at iisa lamang ang daungan at daungan na may anumang laki sa baybayin.,Palaging nagkakaroon ng landslide ang mga bundok dahil hindi madaling magtayo ng mga daungan doon.
neutral,"Ang ""The First Wives Club,"" isang komedyang panghihiganti tungkol sa tatlong inabandunang asawa, ay kumita nang mas malaki sa unang katapusan ng linggo nito kaysa sa iba pang pelikulang pambabae sa kasaysayan.","Ang mga bituin at ang pag-arte, higit pa sa takbo ng kuwento ng First Wives Club, ay nakatulong upang makapagtala ng rekord na benta sa takilya."
neutral,"Umabot naman ito sa, mga uh, ah, hindi ko na matandaan ang mga numero.",Hindi ko na matandaan kung ilang trabahador ang kasama namin.
neutral,Ang pinakamagandang masasabi tungkol sa Podhoretz at Decter ay hindi na maaaring magkaroon ng maraming minuto pa ang natitira sa kanilang mga biyolohikal na orasan.,Si Decter ay 85 taong gulang.
neutral,"Kaya, posibleng matukoy ang mga kinakailangang impormasyon sa maingay na kapaligiran, kung isasaalang-alang ang mga ekspresyon ng mukha, mga kilos, at iba pang mga pahiwatig sa konteksto.",Mauunawaan mo ang sinasabi sa pamamagitan ng ekspresyon ng mukha at mga kumpas ng kamay kahit hindi mo marinig.
