id,premise,choice1,choice2,question,label,mirrored
1283,Ang bata ay nahihirapang makatulog.,Binuksan niya ang kaniyang liwanag sa gabi.,Nanood siya ng isang pelikulang horror.,cause,1,1
207,Ang mga nangungupahan ay pinaalis sa apartment.,Hindi nila nabayaran ang kanilang upa.,Nakasundo nila ang kanilang kasera.,cause,1,0
1317,Ang lalaki ay naligalig sa umaga.,Nagkamping siya sa kakahuyan.,Siya'y nakatulog sa kaniyang higaan.,cause,2,1
1006,Nanalo ang politiko sa halalan.,Walang bumoto para sa kaniya.,Siya'y naglabas ng negatibong mga anunsiyo sa kampanya.,cause,2,1
170,Ang alikabok ay nahulog sa mesa.,Inalis ko ang mga aklat sa mesa.,Pinahid ko ang mesa sa pamamagitan ng isang tela.,cause,2,0
194,Ang bata ay nakaramdam ng pananabik na umuwi.,Siya'y nagtungo sa kampo.,Nagalit siya sa kaniyang kapatid na babae.,cause,1,0
400,Ang mga sundalo ay itinago sa pinsel.,Sila'y nasasandatahan ng mga riple.,Nakasuot sila ng unipormeng pangbalatkayo.,cause,2,0
262,Isiniwalat ng lalaki ang personal na impormasyon sa therapist.,Nagtiwala siya sa therapist.,Hindi siya sang - ayon sa terapis.,cause,1,0
361,Ang pasyente ay sumailalim sa mapanganib na paraan ng paggamot.,Ang pamamaraan ay magastos.,Inirekomenda ng mga dalubhasa ang pamamaraang ito.,cause,2,0
1480,Ang lalaki ay hindi na nawalan ng mga barya sa kaniyang bulsa.,Ang kaniyang bulsa ay punô ng mga barya.,Itinahi niya ang butas sa kaniyang bulsa.,cause,2,1
317,Nakagat ng lamok ang lalaki.,Siya'y nakatulog sa kaniyang higaan.,Nagkamping siya sa kakahuyan.,cause,2,0
149,Ang tsuper ay lumapit sa tabi ng daan.,Napansin niya ang isang sasakyang nasa kagipitan.,Siya'y dumaan sa isang interseksiyon.,cause,1,0
436,Hinalughog ng pulis ang kotse ng nagkasala.,Sila'y naghahanap ng ipinagbabawal na mga gamot.,Sinisikap nilang mangumpisal.,cause,1,0
129,Matagal ang biyahe.,Ang tsuper ay nagsalita sa buong paraan.,Ang tsuper ay gumawa ng maling pagliko.,cause,2,0
305,Ang babae ay tumanggi sa ikalawang beer.,Pamilyar siya sa barnder.,Siya ang itinalagang tsuper para sa gabing iyon.,cause,2,0
1416,Buong - pananabik na nakinig ang nasasakdal.,Ang hukuman ay nagkagulo.,Ipinahayag ng hurado ang hatol nito.,cause,2,1
1200,Gayon na lamang ang pagod ng babae.,Sinunggaban niya ang pintoknob.,Hinampas niya ang pinto.,cause,2,1
123,Ang loob ng tren ay dumidilim.,Ang tren ay naglakbay sa isang tunel.,Ang tren ay bumaba sa riles.,cause,1,0
1028,Ang bata ay hindi nabakunahan subalit hindi niya nakuha ang sakit.,Natanggap niya ang bakuna para sa sakit.,Iniiwasan niya ang pagkahantad sa sakit.,cause,2,1
1004,Ang mananakbo ay nag - unat.,Nagplano siyang tumakbo sa kahabaan ng dalampasigan.,Inihula ng hula ang mataas na temperatura.,cause,1,1
333,Nawawala ang pitaka ng babae.,Ito'y naglalaman ng maraming basura.,Hindi niya ito pinansin.,cause,2,0
90,Binasa nang malakas ng batang lalaki ang nobela sa kaniyang lolo.,Ang kaniyang lolo ay bingi.,Bulag ang kanyang lolo.,cause,2,0
76,Isinara ng lalaki ang payong.,Lumabas siya ng kotse.,Lumapit siya sa gusali.,cause,2,0
1464,Inalis ko ang mga guwantes na goma.,Ako'y naghahanda upang linisin ang banyo.,Ako'y naghahandang maghugas ng aking mga kamay.,cause,2,1
461,Tinawag ng ina ang ambulansiya.,Nawala ang pusa ng kanyang anak na lalaki.,Ang kaniyang anak na lalaki ay nahulog sa kaniyang kama.,cause,2,0
1184,Ang tagapagpala ay mukhang tuwang - tuwa.,Sinuportahan niya ang dahilan sa likod ng kaniyang donasyon.,Nais niyang panatilihin ang kaniyang pribadong buhay.,cause,1,1
93,Ang bintana ay opaque.,Nabahiran ang salamin.,Ang mga bulag ay bukás.,cause,1,0
1119,Natakot ang mga kaibigan ng bata.,Binalak niyang tanungin ang babae.,Malamig at pawis ang kaniyang mga palad.,cause,2,1
1316,Halos hindi makita ng batang babae ang kaniyang pagninilay - nilay.,Siya ay nakaramdam ng sarili-malay.,Nakulong ang salamin.,cause,2,1
1396,Ang nag - iiski ay timbang lamang sa kaniyang katawan.,Siya'y naghulog ng mga pole ng kaniyang iski.,Nagkaroon siya ng isang piraso ng yelo.,cause,1,1
1176,Pinagtawanan ng ama ang telebisyon ng mga bata.,Ang mga bata ay nanonood ng mga cartoon.,Gabi na para sa mga bata.,cause,1,1
336,Ang nakasakay rito ay nahulog sa lupa.,Tinalo ng toro ang nakasakay.,Hinabol ng toro ang nakasakay.,cause,1,0
1104,Laging nasa bahay ang tin - edyer.,Umasa siya sa kaniyang mga magulang.,Inabuso siya ng kaniyang mga magulang.,cause,1,1
1336,Ang nakasakay rito ay tumatakbo nang napakabilis.,Tinalo ng toro ang nakasakay.,Hinabol ng toro ang nakasakay.,cause,2,1
388,Tinularan ng bata ang kaniyang kuya.,Tiningnan ng bata ang kaniyang kuya.,Nakipagbuno ang bata sa kaniyang kuya.,cause,1,0
283,Ang bata ay takot matulog.,Nanood siya ng isang pelikulang horror.,Binuksan niya ang kaniyang liwanag sa gabi.,cause,1,0
454,Nag - alburoto ang bata.,Ibinahagi niya ang kaniyang mga laruan sa kaniyang kapatid na lalaki.,Kinuha ng kanyang kapatid ang kanyang mga laruan sa kanya.,cause,2,0
1043,Ipinasiya ng ehekutibo na upahan ang aplikante.,Ang aplikante ay hindi nakapasa sa isang background check.,Ang aplikante ay may karanasan sa trabahong iyon.,cause,2,1
1237,Itinago ng lalaki ang kaniyang mga paa.,Nabutasan niya ang kaniyang puwitan.,Naghulog siya ng martilyo sa kaniyang paa.,cause,1,1
273,Napansin ng lalaki ang babae.,Nakakuha siya ng kaunting pabango.,Siya'y tumalikod sa kaniya.,cause,1,0
1463,Hindi na ako gaanong nag - aalala na baka mawala ang susi.,Binuksan ko ang susi sa kandado.,Kinopya ko ang susi.,cause,2,1
70,Itinuloy ng batang lalaki ang radyo.,Ang istasyon ay tumutugtog ng musikang rock.,Ang istasyon ay pumapasok taglay ang static.,cause,2,0
1465,Ang mga uri ng hayop ay naging matao.,Nasira ang kanilang tirahan.,Ang kanilang mga maninila ay nalipol.,cause,2,1
1489,Nakipag - ugnayan ang babae sa paglilingkod sa alilang babae.,Kailangang linisin ng babae ang kaniyang bahay.,Ang babae ay nagplanong bumili ng isang condo.,cause,1,1
1072,Ang pulis ay tinamaan ng suspek.,Ang suspek ay tumanggi sa pag-aresto.,Ang pulisya ay tumawag ng backup.,cause,2,1
1462,Lahat ng nasa kotse ay huminto ng pag - awit.,Ang radyo sa kotse ay nagsara.,Isang usa ang lumitaw sa daan.,cause,1,1
128,Iniwan ng mga magulang ang kanilang mga anak sa pamamagitan ng isang yaya.,Gumawa sila ng mga plano upang ipagdiwang ang kanilang anibersaryo.,Ang kanilang bunsong anak ay nagsimulang mag - aral sa preschool.,cause,1,0
155,Ang babae ay tumanggap ng diploma.,Nagpatala siya sa kolehiyo.,Nagtapos siya ng kolehiyo.,cause,2,0
21,Ang batang babae ay tumanggap ng isang tropeo.,Nanalo siya ng isang espesyeng bubuyog.,Nagkaroon siya ng bagong kaibigan.,cause,1,0
