Unnamed: 0,id,sentence1,sentence2,label
0,29568,"Ang estuaryo ng Batten Kill ay nasa East Dorset, Vermont, at ang pinagmulan ng ilog ay nasa Easton, New York.","Ang bungad ng Batten Kill ay nasa East Dorset, Vermont, at ang pinagmulan ng ilog ay nasa Easton, New York.",1
1,45829,"La tempestad (internasyonal na pagsasalin: The Tempest, tinawag na The Storm ng Univision) ay isang telenobelang Mehikano noong 2013 na iprodyus ni Salvador Mejía Alejandre para sa Televisa.","La Tempestad (Pang-internasyonal na pagsasalin: Ang Bagyo, tinatawag ng Univision na The Storm) ay isang telenobelang Mehikano noong 2013 na iprodyus ni Salvador Mejía Alejandre para sa Televisa.",1
2,46990,"Mula noong 2006, nang mapasama si Josephine Alhanko sa Top 20, si Cerljen ang kauna-unahang delegado mula sa Sweden sa internasyonal na final.",Si Cerljen din ang kauna-unahang delegado mula sa Sweden sa pandaigdigang final mula pa noong 2006 nang makapasok si Josephine Alhanko sa Top 20.,1
3,13893,"Ikinasal siya kay Lady Florence Jane Taylour, anak nina Amelia Thompson, ikatlong Markes ng Headfort, at Thomas Taylour, noong ika-5 ng Agosto 1875.","Ikinasal siya kay Lady Florence Jane Taylour, anak nina Amelia Thompson, ikatlong Markes ng Headfort, at Thomas Taylour, noong ika-5 ng Agosto 1875.",1
4,41986,Ang Elati ay isang nayon sa Rehiyonal na Yunit ng Kozani sa Gresya.,"Ang Elati ay isang nayon sa rehiyonal na yunit ng Kozani, Gresya.",1
5,1690,"May apat siyang kapatid: ang kambal na sina Hope Gimbel at Caral Gimbel, at ang kambal na sina Peter Gimbel at David Gimbel.","May apat siyang kapatid: kambal na sina Peter Gimbel at David Gimbel, at kambal na sina Hope Gimbel at Caral Gimbel.",1
6,3098,"Bukod dito, sila ay pisikal na aktibo, malaya sa pagkatuto, at sabik na mag-eksplora.","Bukod pa rito, sila ay aktibo sa pisikal, malaya sa pagkatuto, at sabik na mag-eksplora.",1
7,26108,"Ipinanganak si Solomons sa Orsett, Essex at pinalaki kasama ang kanyang apat na kapatid sa Thorpe Bay ng kanyang ina at ama.","Ipinanganak si Solomons sa Orsett, Essex, at kasama ang kanyang apat na kapatid sa Thorpe Bay ay pinalaki ng kanyang ina at ng kanyang ama.",1
8,26641,"Sa kabila ng panandaliang kalungkutan, kilala siya sa kanyang espirituwal na pag-unawa at disiplina.","Siya ay kilala sa kanyang espirituwal na pag-unawa at disiplina, sa kabila ng mabilis na pagdurusa.",1
9,23768,"Sumunod pang mga paanyaya at dumating pa ang mas maraming mga madre para sa isang ospital sa Iloilo, mga paaralan sa Vigan, Tuguegarao at Maynila, at isang leprosaryo sa Culion.","Sumunod pa ang iba pang mga paanyaya at dumating pa ang mas maraming mga Madre para sa isang ospital sa Iloilo, mga paaralan sa Vigan, Tuguegarao, at Maynila, at isang leprosarium sa Culion.",1
