id,premise,choice1,choice2,question,label,mirrored,premise_opus,choice1_opus,choice2_opus
1283,The boy was struggling to fall asleep.,He turned on his nightlight.,He watched a horror movie.,cause,1,1,Ang bata ay nahihirapang makatulog.,Binuksan niya ang kaniyang liwanag sa gabi.,Nanood siya ng isang pelikulang horror.
207,The tenants were evicted from the apartment.,They neglected to pay their rent.,They got along with their landlord.,cause,1,0,Ang mga nangungupahan ay pinaalis sa apartment.,Hindi nila nabayaran ang kanilang upa.,Nakasundo nila ang kanilang kasera.
1317,The man felt unrested in the morning.,He went camping in the woods.,He fell asleep on his couch.,cause,2,1,Ang lalaki ay naligalig sa umaga.,Nagkamping siya sa kakahuyan.,Siya'y nakatulog sa kaniyang higaan.
1006,The politician won the election.,No one voted for him.,He ran negative campaign ads.,cause,2,1,Nanalo ang politiko sa halalan.,Walang bumoto para sa kaniya.,Siya'y naglabas ng negatibong mga anunsiyo sa kampanya.
170,The dust came off the desk.,I removed the books from the desk.,I wiped the desk with a cloth.,cause,2,0,Ang alikabok ay nahulog sa mesa.,Inalis ko ang mga aklat sa mesa.,Pinahid ko ang mesa sa pamamagitan ng isang tela.
194,The boy felt homesick.,He went away to camp.,He bickered with his sister.,cause,1,0,Ang bata ay nakaramdam ng pananabik na umuwi.,Siya'y nagtungo sa kampo.,Nagalit siya sa kaniyang kapatid na babae.
400,The soldiers were concealed in the brush.,They were armed with rifles.,They wore camouflage uniforms.,cause,2,0,Ang mga sundalo ay itinago sa pinsel.,Sila'y nasasandatahan ng mga riple.,Nakasuot sila ng unipormeng pangbalatkayo.
262,The man revealed personal information to the therapist.,He trusted the therapist.,He disagreed with the therapist.,cause,1,0,Isiniwalat ng lalaki ang personal na impormasyon sa therapist.,Nagtiwala siya sa therapist.,Hindi siya sang - ayon sa terapis.
361,The patient underwent the risky medical procedure.,The procedure was costly.,Specialists recommended the procedure.,cause,2,0,Ang pasyente ay sumailalim sa mapanganib na paraan ng paggamot.,Ang pamamaraan ay magastos.,Inirekomenda ng mga dalubhasa ang pamamaraang ito.
1480,The man did not lose coins in his pocket anymore.,His pocket was filled with coins.,He sewed the hole in his pocket.,cause,2,1,Ang lalaki ay hindi na nawalan ng mga barya sa kaniyang bulsa.,Ang kaniyang bulsa ay punô ng mga barya.,Itinahi niya ang butas sa kaniyang bulsa.
317,The man was bitten by mosquitoes.,He fell asleep on his couch.,He went camping in the woods.,cause,2,0,Nakagat ng lamok ang lalaki.,Siya'y nakatulog sa kaniyang higaan.,Nagkamping siya sa kakahuyan.
149,The driver pulled over to the side of the road.,He noticed a stranded vehicle.,He went through an intersection.,cause,1,0,Ang tsuper ay lumapit sa tabi ng daan.,Napansin niya ang isang sasakyang nasa kagipitan.,Siya'y dumaan sa isang interseksiyon.
436,The police searched the offender's car.,They were looking for illegal drugs.,They were trying to elicit a confession.,cause,1,0,Hinalughog ng pulis ang kotse ng nagkasala.,Sila'y naghahanap ng ipinagbabawal na mga gamot.,Sinisikap nilang mangumpisal.
129,The trip took a long time., The driver talked the whole way.,The driver made a wrong turn.,cause,2,0,Matagal ang biyahe.,Ang tsuper ay nagsalita sa buong paraan.,Ang tsuper ay gumawa ng maling pagliko.
305,The woman refused a second beer.,She was familiar with the bartender.,She was the designated driver for the night.,cause,2,0,Ang babae ay tumanggi sa ikalawang beer.,Pamilyar siya sa barnder.,Siya ang itinalagang tsuper para sa gabing iyon.
1416,The defendant listened anxiously.,The courtroom broke into uproar.,The jury announced its verdict.,cause,2,1,Buong - pananabik na nakinig ang nasasakdal.,Ang hukuman ay nagkagulo.,Ipinahayag ng hurado ang hatol nito.
1200,The woman felt extremely fatigued.,She grabbed the doorknob.,She pounded on the door.,cause,2,1,Gayon na lamang ang pagod ng babae.,Sinunggaban niya ang pintoknob.,Hinampas niya ang pinto.
123,The inside of the train went dark.,The train travelled through a tunnel.,The train ran off the tracks.,cause,1,0,Ang loob ng tren ay dumidilim.,Ang tren ay naglakbay sa isang tunel.,Ang tren ay bumaba sa riles.
1028,The child was not vaccinated but did not get the disease.,He received the vaccine for the disease.,He avoided exposure to the disease.,cause,2,1,Ang bata ay hindi nabakunahan subalit hindi niya nakuha ang sakit.,Natanggap niya ang bakuna para sa sakit.,Iniiwasan niya ang pagkahantad sa sakit.
1004,The runner stretched.,She planned to run along the beach.,The forecast predicted high temperatures.,cause,1,1,Ang mananakbo ay nag - unat.,Nagplano siyang tumakbo sa kahabaan ng dalampasigan.,Inihula ng hula ang mataas na temperatura.
333,The woman's purse was missing.,It contained a lot of junk.,She left it unsupervised.,cause,2,0,Nawawala ang pitaka ng babae.,Ito'y naglalaman ng maraming basura.,Hindi niya ito pinansin.
90,The boy read the novel aloud to his grandfather.,His grandfather was deaf.,His grandfather was blind.,cause,2,0,Binasa nang malakas ng batang lalaki ang nobela sa kaniyang lolo.,Ang kaniyang lolo ay bingi.,Bulag ang kanyang lolo.
76,The man closed the umbrella.,He got out of the car.,He approached the building.,cause,2,0,Isinara ng lalaki ang payong.,Lumabas siya ng kotse.,Lumapit siya sa gusali.
1464,I took off the rubber gloves.,I was preparing to clean the bathroom.,I was preparing to wash my hands.,cause,2,1,Inalis ko ang mga guwantes na goma.,Ako'y naghahanda upang linisin ang banyo.,Ako'y naghahandang maghugas ng aking mga kamay.
461,The mother called an ambulance.,Her son lost his cat.,Her son fell out of his bed.,cause,2,0,Tinawag ng ina ang ambulansiya.,Nawala ang pusa ng kanyang anak na lalaki.,Ang kaniyang anak na lalaki ay nahulog sa kaniyang kama.
1184,The benefactor looked extremely excited.,He supported the cause behind his donation.,He wanted to maintain his privacy.,cause,1,1,Ang tagapagpala ay mukhang tuwang - tuwa.,Sinuportahan niya ang dahilan sa likod ng kaniyang donasyon.,Nais niyang panatilihin ang kaniyang pribadong buhay.
93,The window was opaque.,The glass was stained.,The blinds were open.,cause,1,0,Ang bintana ay opaque.,Nabahiran ang salamin.,Ang mga bulag ay bukás.
1119,The boy's friends were scared.,He planned to ask the girl out.,His palms were cold and sweaty.,cause,2,1,Natakot ang mga kaibigan ng bata.,Binalak niyang tanungin ang babae.,Malamig at pawis ang kaniyang mga palad.
1316,The girl could barely see her reflection.,She felt self-conscious.,The mirror was smudged.,cause,2,1,Halos hindi makita ng batang babae ang kaniyang pagninilay - nilay.,Siya ay nakaramdam ng sarili-malay.,Nakulong ang salamin.
1396,The skier balanced only with her body.,She dropped her ski poles.,She hit a patch of ice.,cause,1,1,Ang nag - iiski ay timbang lamang sa kaniyang katawan.,Siya'y naghulog ng mga pole ng kaniyang iski.,Nagkaroon siya ng isang piraso ng yelo.
1176,The father laughed at the children's television.,The children were watching cartoons.,It was bedtime for the children.,cause,1,1,Pinagtawanan ng ama ang telebisyon ng mga bata.,Ang mga bata ay nanonood ng mga cartoon.,Gabi na para sa mga bata.
336,The rider fell to the ground.,The bull bucked the rider.,The bull chased the rider.,cause,1,0,Ang nakasakay rito ay nahulog sa lupa.,Tinalo ng toro ang nakasakay.,Hinabol ng toro ang nakasakay.
1104,The teenager always stayed home.,He relied on his parents.,His parents abused him.,cause,1,1,Laging nasa bahay ang tin - edyer.,Umasa siya sa kaniyang mga magulang.,Inabuso siya ng kaniyang mga magulang.
1336,The rider ran at full speed.,The bull bucked the rider.,The bull chased the rider.,cause,2,1,Ang nakasakay rito ay tumatakbo nang napakabilis.,Tinalo ng toro ang nakasakay.,Hinabol ng toro ang nakasakay.
388,The boy mimicked his older brother.,The boy looked up to his older brother.,The boy wrestled with his older brother.,cause,1,0,Tinularan ng bata ang kaniyang kuya.,Tiningnan ng bata ang kaniyang kuya.,Nakipagbuno ang bata sa kaniyang kuya.
283,The boy was afraid to go to bed.,He watched a horror movie.,He turned on his nightlight.,cause,1,0,Ang bata ay takot matulog.,Nanood siya ng isang pelikulang horror.,Binuksan niya ang kaniyang liwanag sa gabi.
