id,premise,choice1,choice2,question,label,mirrored
1283,Pilit na natutulog ang binata.,Binuksan niya ang kanyang ilaw sa gabi.,Nanonood siya ng horror movie.,sanhi,1,1
207,Pinalayas ang mga nangungupahan sa apartment.,Nakalimutan nilang magbayad ng renta.,Sumama sila sa kanilang may-ari.,sanhi,1,0
1317,Kinaumagahan ay nakaramdam ng kalungkutan ang lalaki.,Nagkampo siya sa kakahuyan.,Nakatulog siya sa sofa.,sanhi,2,1
1006,Nanalo ang pulitiko sa eleksyon.,Walang bumoto para sa kanya.,Nagpalabas siya ng mga negatibong ad sa kampanya.,sanhi,2,1
170,Lumabas ang alikabok mula sa mesa.,Inalis ko ang mga libro mula sa mesa.,Pinunasan ko ang mesa gamit ang damit.,sanhi,2,0
194,Nakaramdam ng homesick ang binata.,Umalis siya papunta sa kampo.,Nakipag-usap siya sa kanyang kapatid.,sanhi,1,0
400,Nakatago ang mga sundalo sa loob ng banyo.,Armado sila ng mga baril.,Nakasuot sila ng uniporme ng camouflage.,sanhi,2,0
262,Inihayag ng lalaki ang personal na impormasyon sa therapist.,Nagtiwala siya sa therapist.,Hindi siya sumasang-ayon sa therapist.,sanhi,1,0
361,Ang pasyente ay sumailalim sa mapanganib na medikal na pamamaraan.,Ang pamamaraan ay magastos.,Inirerekomenda ng mga espesyalista ang pamamaraan.,sanhi,2,0
1480,Hindi na nawalan ng barya ang lalaki sa kanyang bulsa.,Punong-puno ng barya ang kanyang bulsa.,Tinahi niya ang butas sa kanyang bulsa.,sanhi,2,1
317,Kinagat ng lamok ang lalaki.,Nakatulog siya sa sofa.,Nagkampo siya sa kakahuyan.,sanhi,2,0
149,Huminto ang drayber sa gilid ng kalsada.,Napansin niya ang isang sasakyan na na-stranded.,Dumaan siya sa isang intersection.,sanhi,1,0
436,Hinanap ng mga pulis ang kotse ng salarin.,Hinahanap nila ang iligal na droga.,Sinubukan nilang umangkin ng pagtatapat.,sanhi,1,0
129,Matagal ang biyahe., Nagsalita ang drayber sa buong daan.,Nagkamali ang takbo ng drayber.,sanhi,2,0
305,Tumanggi ang babae na uminom ng pangalawang beer.,Kabisado niya ang bartender.,Siya ang itinalagang driver para sa gabing iyon.,sanhi,2,0
1416,Nakinig nang balisa ang akusado.,Naging magulo ang silid ng korte.,Inihayag ng hurado ang hatol nito.,sanhi,2,1
1200,Nakaramdam ng labis na pagod ang dalaga.,Hinawakan niya ang doorknob.,Kumatok siya sa pinto.,sanhi,2,1
123,Nagdilim ang loob ng tren.,Dumaan ang tren sa isang lagusan.,Tumakbo ang tren palayo sa riles.,sanhi,1,0
1028,Ang bata ay hindi nabakunahan ngunit hindi nakuha ang sakit.,Natanggap niya ang bakuna para sa sakit.,Iniiwasan niya ang pagkakalantad sa sakit.,sanhi,2,1
1004,Nag-unat ang runner.,Balak niyang tumakbo sa tabi ng dalampasigan.,Hinulaan ng forecast ang mataas na temperatura.,sanhi,1,1
333,Nawawala ang pitaka ng babae.,Naglalaman ito ng maraming basura.,Iniwan niya ito nang walang pangangasiwa.,sanhi,2,0
90,Binasa ng bata nang malakas ang nobela sa kanyang lolo.,Bingi ang lolo niya.,Bulag ang lolo niya.,sanhi,2,0
76,Isinara ng lalaki ang payong.,Bumaba siya ng kotse.,Lumapit siya sa building.,sanhi,2,0
1464,Tinanggal ko ang guwantes na goma.,Naghanda na akong maglinis ng banyo.,Naghanda na akong maghugas ng kamay.,sanhi,2,1
461,Tumawag ng ambulansya ang ina.,Nawalan ng pusa ang kanyang anak.,Nahulog ang kanyang anak mula sa kanyang kama.,sanhi,2,0
1184,Mukhang excited na ang binata.,Sinuportahan niya ang dahilan sa likod ng kanyang donasyon.,Nais niyang mapanatili ang kanyang privacy.,sanhi,1,1
93,Opaque ang bintana.,Nadungisan ang salamin.,Binuksan ang mga bulag.,sanhi,1,0
1119,Takot na takot ang mga kaibigan ng binata.,Niyaya niyang lumabas ang dalaga.,Malamig at pawisan ang kanyang mga palad.,sanhi,2,1
1316,Halos hindi makita ng dalaga ang kanyang repleksyon.,Nakaramdam siya ng kamalayan sa sarili.,Nadungisan ang salamin.,sanhi,2,1
1396,Ang skier ay balanse lamang sa kanyang katawan.,Ibinaba niya ang kanyang mga poste ng ski.,Tinamaan niya ang isang piraso ng yelo.,sanhi,1,1
1176,Tawa ng tawa ang ama sa telebisyon ng mga bata.,Nanonood ng cartoons ang mga bata.,Oras na ng pagtulog para sa mga bata.,sanhi,1,1
336,Bumagsak sa sahig ang rider.,Hinawakan ng toro ang mangangabayo.,Hinabol ng toro ang mangangabayo.,sanhi,1,0
