id,premise,choice1,choice2,question,label,mirrored
1283,The boy was struggling to fall asleep.,He turned on his nightlight.,He watched a horror movie.,cause,1,1
207,The tenants were evicted from the apartment.,They neglected to pay their rent.,They got along with their landlord.,cause,1,0
1317,The man felt unrested in the morning.,He went camping in the woods.,He fell asleep on his couch.,cause,2,1
1006,The politician won the election.,No one voted for him.,He ran negative campaign ads.,cause,2,1
170,The dust came off the desk.,I removed the books from the desk.,I wiped the desk with a cloth.,cause,2,0
194,The boy felt homesick.,He went away to camp.,He bickered with his sister.,cause,1,0
400,The soldiers were concealed in the brush.,They were armed with rifles.,They wore camouflage uniforms.,cause,2,0
262,The man revealed personal information to the therapist.,He trusted the therapist.,He disagreed with the therapist.,cause,1,0
361,The patient underwent the risky medical procedure.,The procedure was costly.,Specialists recommended the procedure.,cause,2,0
1480,The man did not lose coins in his pocket anymore.,His pocket was filled with coins.,He sewed the hole in his pocket.,cause,2,1
317,The man was bitten by mosquitoes.,He fell asleep on his couch.,He went camping in the woods.,cause,2,0
149,The driver pulled over to the side of the road.,He noticed a stranded vehicle.,He went through an intersection.,cause,1,0
436,The police searched the offender's car.,They were looking for illegal drugs.,They were trying to elicit a confession.,cause,1,0
129,The trip took a long time., The driver talked the whole way.,The driver made a wrong turn.,cause,2,0
305,The woman refused a second beer.,She was familiar with the bartender.,She was the designated driver for the night.,cause,2,0
1416,The defendant listened anxiously.,The courtroom broke into uproar.,The jury announced its verdict.,cause,2,1
1200,The woman felt extremely fatigued.,She grabbed the doorknob.,She pounded on the door.,cause,2,1
123,The inside of the train went dark.,The train travelled through a tunnel.,The train ran off the tracks.,cause,1,0
1028,The child was not vaccinated but did not get the disease.,He received the vaccine for the disease.,He avoided exposure to the disease.,cause,2,1
1004,The runner stretched.,She planned to run along the beach.,The forecast predicted high temperatures.,cause,1,1
333,The woman's purse was missing.,It contained a lot of junk.,She left it unsupervised.,cause,2,0
90,The boy read the novel aloud to his grandfather.,His grandfather was deaf.,His grandfather was blind.,cause,2,0
76,The man closed the umbrella.,He got out of the car.,He approached the building.,cause,2,0
1464,I took off the rubber gloves.,I was preparing to clean the bathroom.,I was preparing to wash my hands.,cause,2,1
461,The mother called an ambulance.,Her son lost his cat.,Her son fell out of his bed.,cause,2,0
1184,The benefactor looked extremely excited.,He supported the cause behind his donation.,He wanted to maintain his privacy.,cause,1,1
