gold_label,sentence1,sentence2
neutral,"Maaari mo ring samantalahin ang aming espesyal na 2-taong alok sa pagiging kasapi para sa $ 30, isang pagtitipid ng halos 60% na diskwento sa aming regular na 2 taong rate.",Nagkakahalaga lamang ito ng $ 30 kung sumali ka sa susunod na dalawang araw.
neutral,"Samakatuwid, patuloy silang lumilikha ng isang hindi nakatigil na mundo kung saan ang relatibong kamakailang nakaraan lamang ang may wastong data.",Ang mga haka-haka na mundo na ito ay ginagamit upang mahulaan ang mga pattern ng panahon.
neutral,"Anyway, kaya natapos ko ang bahay ng 6:30 ngayon at iyon ang araw ko.",Ginugol ko ang halos buong araw sa pagharap sa isang kumplikadong isyu sa pagsingil ng customer.
neutral,Ang batas ay hindi ang indibidwal kundi ang komunidad o ang bansa sa kabuuan.,Ang batas ang magtutubos sa Amerika.
neutral,"Ang iyong determinasyon ay nagligtas sa akin mula sa isang kakila-kilabot na panganib, inamin niya.","Ayaw niyang tulungan siya, bagama't nagpapasalamat pa rin siya."
neutral,"Sa ibang lugar sa hardin ng prinsipe, sa isang modernong gusali na tinatawag na Sailor's House (Casa de Marinos), maaari mong malaman kung ano ang nangyari sa kakaibang Tagus squadron ng royal fleet.",Ang Sailor's House ay dinisenyo ng isang kilalang Italyanong arkitekto.
neutral,"Sa katunayan, ang salitang quark ay nasa OED bilang isang pandiwa na nangangahulugang 'croak,' na may mga sanggunian sa ika-19 na siglo sa mga palaka, rook, at heron.",Karamihan sa mga tao ay hindi alam ang pinagmulan ng salitang quark at na ito ay tumutukoy sa ingay na ginawa ng isang palaka.
neutral,at maaari rin silang maging napakabait pagkatapos nilang sanayin,Mabilis silang nagbabago habang sumasailalim sa pagsasanay.
neutral,Ito ang legal na batayan ng nostalhik na pagyakap ni Justice Anthony Kennedy sa mga karapatan ng mga estado.,Pabor si Kennedy sa mga karapatan ng mga estado pagdating sa aborsyon.
neutral,Ang pangalawang antas ng kasinungalingan ay ipinagtanggol ni Brock si Hillary para lamang itaas ang kanyang sariling iskandalo sa pagmamay-ari.,Ang ilang mga tao ay naniniwala na mali na ipinagtanggol ni Brock si Hillary upang itaas ang kanyang sarili.
neutral,"Feisty, tulad ng fizzle, nagsimula bilang Middle English fysten, fisten 'to fart.",100 taon nang umiiral si Fiesty.
neutral,Huwag mong isipin na kusang-loob kong tanggapin ito.,"Hindi ako handang tanggapin ito, ngunit maaari akong kumbinsihin."
