id,sentence1,sentence2,label
29568,"The estuary of the Batten Kill is in East Dorset , Vermont , and the source of the river is in Easton , New York .","The mouth of the Batten Kill is in East Dorset , Vermont , and the source of the river is in Easton , New York .",1
45829,"La tempestad ( International translation : The Tempest , dubbed The Storm by Univision ) is a 2013 Mexican telenovela produced by Salvador Mejía Alejandre for Televisa .","La Tempestad ( International Translation : The Storm , called by Univision the Storm ) is a 2013 Mexican telenovela produced by Salvador Mejía Alejandre for Televisa .",1
46990,"Since 2006 , when Josephine Alhanko placed himself in the Top 20 , Cerljen was the first delegate from Sweden to the international final .",Cerljen was also the first delegate from Sweden at the international final since 2006 when Josephine Alhanko placed in the Top 20 .,1
13893,"He married Lady Florence Jane Taylour , daughter of Amelia Thompson , 3rd Marquess of Headfort and Thomas Taylour , on 5 August 1875 .","He married Lady Florence Jane Taylour , the daughter of Amelia Thompson , 3rd Marquess of Headfort and Thomas Taylour , on 5 August 1875 .",1
41986,Elati is a village in the Kozani Regional Unit in Greece .,"Elati is a village in the Kozani regional unit , Greece .",1
1690,He had four siblings : twins Hope Gimbel and Caral Gimbel and the twins Peter Gimbel and David Gimbel .,He had four siblings : twins Peter Gimbel and David Gimbel ; and twins Hope Gimbel and Caral Gimbel .,1
3098,"In addition , they are physically active , free to learn and eager to explore .","In addition , they are actively physically active , free to learn and eager to explore .",1
26108,"Solomons was born in Orsett , Essex and brought up with his four siblings in Thorpe Bay by his mother and father .","Solomons was born in Orsett , Essex and with his four siblings in Thorpe Bay brought up by his mother and his father .",1
26641,"Regardless of quick sorrow , he was known for his spiritual understanding and discipline .","He was known for his spiritual understanding and discipline , regardless of quick suffering .",1
23768,"Other invitations followed and more sisters arrived for a hospital in Iloilo , schools in Vigan , Tuguegarao and Manila and a leprosary in Culion .","Other invitations followed and more Sisters arrived for a hospital in Iloilo , schools in Vigan , Tuguegarao , and Manila , and a Leprosarium in Culion .",1
39715,"In 1975 a group of five young photographers ( including Bronson Fellow Christopher Rauschenberg , son of Robert Rauschenberg ) pooled their resources to start a small gallery .","In 1975 , a group of five young photographers ( including Bronson Fellow Christopher Rauschenberg , son of Robert Rauschenberg ) collected their resources to start a small gallery .",1
23,"In mathematical astronomy , his fame is due to the introduction of the astronomical globe , and his early contributions to understanding the movement of the planets .",His fame is due in mathematical astronomy to the introduction of the astronomical globe and to his early contributions to the understanding of the movement of the planets .,1
24797,"From 1898 to 1902 , about 1,300 birds were imported from America and released from Southland to Northland in many parts of the North and South Islands .","From 1898 to 1902 , some 1300 birds were imported from America and released in many parts of the North and South Islands , from Southland to Northland .",1
34886,"The five elected candidates were Bahrain , Brazil , Gabon , Gambia and Slovenia .","The five candidates elected were Bahrain , Brazil , Gabon , Gambia , and Slovenia .",1
4410,The next two functions are analogous to the above two functions and are used for base clusters .,The next two functions are analogous to the above two and are used for base clusters .,1
9941,The Squadron RAF was a unit of the Royal Air Force in Egypt during the Second World War and then in Italy and North Africa .,651 Squadron RAF was a unit of the Royal Air Force in Egypt during the Second World War and afterwards in Italy and North Africa .,1
4704,The 1983 TV movie `` Sam Elliott : The Empty Copper Sea '' starred Travis McGee .,The TV movie 1983 `` Sam Elliott : The Empty Copper Sea '' played Travis McGee .,1
43116,"Bentley and carvings by Hugh Stannus , while the meeting room contains a decorative ceiling by Thomas Earp .",Bentley and carvings by Hugh Stannus while the board room contains a decorative ceiling by Thomas Earp .,1
39241,"In bioinformatics , inverted indexes are very important in the sequence assembly of short fragments of sequenced DNA .","In bioinformatics , inverted indices in the sequence assembly of short fragments of sequenced DNA are very important .",1
39290,"It is endemic to Hawaii , where it is known only from the northern Koolau Mountains of Oahu .","It is endemic to Hawaii , where it is only known from the northern Koolau Mountains of Oahu .",1
1923,"The album contains 16 tracks recorded during two May 2002 performances , one in Memphis , Tennessee , and the other in Chicago , Illinois .","The album contains 16 tracks recorded during two appearances in May 2002 , one in Memphis , Tennessee , and the other in Chicago , Illinois .",1
104,Ruffell was employed as an engineer in Southampton Docks and died on 3 October 1940 in Southampton on his 73rd birthday .,"Ruffell was employed as an engineer in Southampton Docks . He died in Southampton on his 73rd birthday , 3 October 1940 .",1
22637,The tendered speed limit is generally reduced as low as within the two cities .,"The posted speed limit is generally , reduced as low as within the two cities .",1
4131,"Adam Ludwik Czartoryski was married to Prince Maria , married on August 31 , 1901 in Warsaw .","Adam Adam Ludwik Czartoryski was married to Prince Maria , who married in Warsaw on 31 August 1901 .",1
38621,"In 1955 , Johannes Herman Johannes married Annie Marie Gilbertine Amalo .",Annie Marie Gilbertine Amalo married Herman Johannes in 1955 .,1
4221,"C2c uses Class 357 and Class 387 units on the London , Tilbury and Southend Railway from Shoeburyness and Southend to London Fenchurch Street .","C2c uses Class 357 and Class 387 units on services down the London , Tilbury and Southend Railway line from Shoeburyness and Southend to London Fenchurch Street .",1
45606,"In 1958 he spoke throughout East Asia and in Western Europe , and in 1961 in Northern Ghana .",In 1958 he spoke throughout East Asia and Western Europe and in 1961 in Northern Ghana .,1
36703,"In addition , the song `` Calling All Angels '' is included in the film by Jane Siberry and is played on the audio track .","In addition , the song `` Calling All Angels '' by Jane Siberry is included in the film and is played on the soundtrack .",1
5914,"The area was once served by Edinburgh Waverley Railway Station , which provided direct access to the railway to Corstorphine .",The area was once served by Edinburgh Waverley railway station which provided direct railway access to Corstorphine .,1
18516,Morris Township is located in the 25th Congressional District and is part of the 11th State Legislative District of New Jersey .,Morris Township is located in the 25th Congressional District and is part of New Jersey 's 11th state legislative district .,1
23134,"He died on 24 August 1878 in Wyandotte ( now part of Kansas City ) , Kansas .","He died in Wyandotte ( now a part of Kansas ) , Kansas City , August 24 , 1878 .",1
