id,sentence1,sentence2,label
29568,"Ang estuaryo ng Batten Kill ay nasa East Dorset, Vermont, at ang pinagmulan ng ilog ay nasa Easton, New York.","Ang bungad ng Batten Kill ay nasa East Dorset, Vermont, at ang pinagmulan ng ilog ay nasa Easton, New York.",1
45829,"La Tempestad (internasyonal na pagsasalin: The Tempest, tinawag na The Storm ng Univision) ay isang telenobela ng Mehiko noong 2013 na iprodyus ni Salvador Mejía Alejandre para sa Televisa.","La Tempestad (Pang-internasyonal na pagsasalin: Ang Bagyo, tinatawag ng Univision na Ang Bagyo) ay isang telenobelang Mehikano noong 2013 na iprodyus ni Salvador Mejía Alejandre para sa Televisa.",1
46990,"Mula noong 2006, nang mailagay ni Josephine Alhanko ang sarili sa Top 20, si Cerljen ang kauna-unahang delegado mula sa Sweden sa pandaigdigang final.",Si Cerljen din ang kauna-unahang delegado mula sa Sweden sa pandaigdigang final mula pa noong 2006 nang makapasok si Josephine Alhanko sa Top 20.,1
13893,"Ikinasal siya kay Lady Florence Jane Taylour, anak nina Amelia Thompson, ikatlong Markes ng Headfort, at Thomas Taylour, noong ika-5 ng Agosto 1875.","Ikinasal siya kay Lady Florence Jane Taylour, anak nina Amelia Thompson, ikatlong Markis ng Headfort, at Thomas Taylour, noong ika-5 ng Agosto 1875.",1
41986,Ang Elati ay isang nayon sa Rehiyonal na Yunit ng Kozani sa Gresya.,"Ang Elati ay isang nayon sa rehiyonal na yunit ng Kozani, Gresya.",1
1690,"May apat siyang kapatid: ang kambal na sina Hope Gimbel at Caral Gimbel, at ang kambal na sina Peter Gimbel at David Gimbel.","May apat siyang kapatid: kambal na sina Peter Gimbel at David Gimbel, at kambal na sina Hope Gimbel at Caral Gimbel.",1
3098,"Bukod dito, sila ay pisikal na aktibo, malaya sa pagkatuto, at sabik na mag-eksplora.","Bukod pa rito, sila ay aktibo sa pisikal, malaya sa pagkatuto, at sabik na mag-eksplora.",1
26108,"Ipinanganak si Solomons sa Orsett, Essex at pinalaki kasama ang kanyang apat na kapatid sa Thorpe Bay ng kanyang ina at ama.","Ipinanganak si Solomons sa Orsett, Essex, at kasama ang kanyang apat na kapatid sa Thorpe Bay ay pinalaki ng kanyang ina at ng kanyang ama.",1
26641,"Sa kabila ng panandaliang kalungkutan, kilala siya sa kanyang espirituwal na pag-unawa at disiplina.","Siya ay kilala sa kanyang espirituwal na pag-unawa at disiplina, sa kabila ng mabilis na pagdurusa.",1
23768,"Sumunod pang mga paanyaya at dumating pa ang mas maraming mga madre para sa isang ospital sa Iloilo, mga paaralan sa Vigan, Tuguegarao at Maynila, at isang leprosaryo sa Culion.","Sumunod pang mga paanyaya at dumating pa ang mas maraming mga Madre para sa isang ospital sa Iloilo, mga paaralan sa Vigan, Tuguegarao, at Maynila, at isang leprosarium sa Culion.",1
39715,"Noong 1975, pinagsama-sama ng limang kabataang potograpo (kabilang si Bronson Fellow Christopher Rauschenberg, anak ni Robert Rauschenberg) ang kanilang mga yaman upang magbukas ng isang maliit na galeriya.","Noong 1975, isang grupo ng limang batang potograpo (kabilang si Bronson Fellow Christopher Rauschenberg, anak ni Robert Rauschenberg) ang pinagsama-sama ang kanilang mga mapagkukunan upang magtayo ng isang maliit na galeriya.",1
23,"Sa matematikal na astronomiya, ang kanyang katanyagan ay dahil sa pagpapakilala ng astronomikal na globo at sa kanyang mga maagang ambag sa pag-unawa ng paggalaw ng mga planeta.",Ang kanyang katanyagan sa matematikal na astronomiya ay dahil sa pagpapakilala ng astronomikal na globo at sa kanyang mga maagang ambag sa pag-unawa ng paggalaw ng mga planeta.,1
24797,"Mula 1898 hanggang 1902, humigit-kumulang 1,300 na ibon ang inangkat mula sa Amerika at pinalaya mula sa Southland patungong Northland sa maraming bahagi ng Hilagang Pulo at Katimugang Pulo.","Mula 1898 hanggang 1902, humigit-kumulang 1,300 ibon ang inangkat mula sa Amerika at pinakawalan sa maraming bahagi ng Hilagang Isla at Katimugang Isla, mula Southland hanggang Northland.",1
34886,"Ang limang nahalal na kandidato ay Bahrain, Brazil, Gabon, Gambia at Slovenia.","Ang limang napiling kandidato ay Bahrain, Brazil, Gabon, Gambia, at Slovenia.",1
4410,Ang susunod na dalawang function ay katulad ng sa nakaraang dalawang function at ginagamit para sa mga base cluster.,Ang susunod na dalawang function ay katulad ng sa itaas at ginagamit para sa mga base cluster.,1
9941,Ang Squadron RAF ay isang yunit ng Royal Air Force sa Ehipto noong Ikalawang Digmaang Pandaigdig at pagkatapos ay sa Italya at Hilagang Aprika.,Ang 651 Squadron ng RAF ay isang yunit ng Royal Air Force sa Ehipto noong Ikalawang Digmaang Pandaigdig at pagkatapos ay sa Italya at Hilagang Aprika.,1
4704,"Ang 1983 na pelikulang pang-telebisyon na ""Sam Elliott: The Empty Copper Sea"" ay pinagbidahan ni Travis McGee.","Sa pelikulang-telebisyon noong 1983 na ""Sam Elliott: The Empty Copper Sea,"" ginampanan ni Sam Elliott si Travis McGee.",1
43116,"Ang Bentley at mga ukit ni Hugh Stannus, habang ang silid-pulong ay may palamuting kisame ni Thomas Earp.","Ang Bentley at mga ukit ni Hugh Stannus, habang ang silid-pulong ay may palamuting kisame ni Thomas Earp.",1
