gold_label,sentence1,sentence2,sentence1_opus,sentence2_opus
neutral,"You may also take advantage of our special 2-year membership offer for $30, a savings of almost 60% off our regular 2 year rate.",It costs $30 only if you join in the next two days.,"Maaari mo ring samantalahin ang aming pantanging 2-year na pag-aalok ng pagiging miyembro sa $30, isang ipon ng halos 60% sa aming regular na 2 taon.",Ito'y nagkakahalaga lamang ng $30 kung sasama ka sa susunod na dalawang araw.
neutral,"Therefore, they persistently create a nonstationary world in which only the relatively recent past has valid data.",These hypothetical worlds are used to forecast weather patterns.,"Samakatuwid, sila'y patuloy na lumilikha ng isang daigdig na walang kinalaman sa mga bagay - bagay kung saan ang nakalipas lamang ay may mabisang impormasyon.",Ang guniguning mga daigdig na ito ay ginagamit upang hulaan ang mga huwaran ng lagay ng panahon.
neutral,"Anyhow, so I finished came home at 6:30 today and that was my day.",I spent most of the day dealing with a complicated customer billing issue.,"Sa paano man, kaya ako'y nakatapos ng pag - uwi ng bahay sa ganap na 6:30 ngayon at iyan ang araw ko.",Ginugol ko ang kalakhang bahagi ng araw sa pakikitungo sa isang masalimuot na usapin tungkol sa pagbabayad ng kuwenta ng parokyano.
neutral,The law redeems not the individual but the community or the nation as a whole.,The law will redeem America.,Hindi tinubos ng batas ang indibiduwal kundi ang pamayanan o ang bansa sa kabuuan.,Tutubusin ng batas ang Amerika.
neutral,"Your resolve delivered me from a horrible danger,  she admitted.","She did not want him to help her, though was grateful anyway.","Ang iyong pasiya ang nagligtas sa akin mula sa isang kakila - kilabot na panganib, sabi niya.","Ayaw niyang tulungan siya ni Jesus, pero nagpapasalamat pa rin siya."
neutral,"Elsewhere in the prince's garden, in a modern building called the Sailor's House (Casa de Marinos), you can find out what became of the quaint  Tagus squadron  of the royal fleet.",The Sailor's House was designed by a famous Italian architect.,"Sa ibang dako naman sa hardin ng prinsipe, sa isang modernong gusali na tinatawag na Bahay ng Sailor (Casa de Marinos), malalaman mo kung ano ang naging kakatwang Tagus squadron ng plota ng hari.",Ang Bahay ng Sailor ay dinisenyo ng isang kilalang arkitektong Italyano.
neutral,"Actually, the word quark is in the OED as a verb meaning `croak,' with 19th-century references to frogs, rooks, and herons.",Most people would not know the origin of the word quark and that it referenced the noise made by a frog.,"Sa katunayan, ang salitang quark ay nasa OED bilang isang pandiwa na nangangahulugang `croak,' na may 19th-century na mga reperensiya sa mga palaka, rook, at heron.",Karamihan sa mga tao ay hindi malaman ang pinagmulan ng salitang quark at ito ay tumutukoy sa ingay na gawa ng isang palaka.
neutral,and they can be very nice too after after they've been trained,They change rapidly while undergoing training.,at maaari rin silang maging napakabait pagkatapos na sila'y masanay,Sila'y mabilis na nagbabago samantalang nagsasanay.
neutral,This is the legal underpinning of Justice Anthony Kennedy's nostalgic embrace of states' rights.,Kennedy favors states rights when it comes to abortion.,Ito ang legal na pag - uulat ng mga karapatan ni Hukom Anthony Kennedy na tinatanggap ng mga estado.,Kennedy ang mga karapatan pagdating sa aborsiyon.
neutral,"The second level of falsity is that Brock defends Hillary only to elevate his own, proprietary scandal.",Some people believe it is false that Brock defends Hillary to elevate himself.,Ang ikalawang antas ng falsity ay na ipinagtatanggol lamang ni Brock si Hillary upang itaas ang sarili niyang iskandalong proprietaryal.,Naniniwala ang ilan na mali ang pagtatanggol ni Brock kay Hillary para itaas ang kaniyang sarili.
neutral,"Feisty, like fizzle, began as Middle English fysten, fisten `to fart.",Fiesty has been around for 100 years.,"Ang Feisty, tulad ng fizzle, ay nagsimula bilang Middle English fysten, kamaong `to fart.",May 100 taon nang umiiral ang kasiglahan.
neutral,Don't think I accept it willingly.,"I am not willing to accept it, but I could be convinced.",Sa palagay ko'y hindi ko ito tinatanggap nang kusa.,"Ayaw kong tanggapin ito, subalit ako'y maaaring makumbinsi."
neutral,Human resources systems were consolidated and new corporate structures were quickly defined to ensure continued support to the enlarged customer base.,"By consolidating human resources systems, room was created for new corporate structures.",Ang mga sistema ng likas na yaman ng tao ay pinagsama - sama at ang bagong mga gusali ng korporasyon ay mabilis na binigyang - kahulugan upang tiyakin ang patuloy na pagsuporta sa pinalaking base ng parokyano.,"Sa pamamagitan ng pag - aayos sa mga sistema ng likas na yaman ng tao, ang silid ay ginawa para sa bagong mga kayarian ng korporasyon."
neutral,"Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?",I'd love to drink some chocolate milk and relax a bit since I know i messed up.,"Bago mo ako paluin, bakit hindi mo muna ako bigyan ng isang malaking baso ng gatas na tsokolate?",Gustung - gusto kong uminom ng tsokolateng gatas at magrelaks nang kaunti yamang alam kong ako'y magulo.
neutral,This is no secret to music retailers.,Music retailers knew about this issue before the news broke to the public a month ago.,Hindi ito lihim sa mga nagtitinda ng musika.,Alam na ng mga negosyante ng musika ang tungkol sa isyung ito bago pa dumating sa publiko ang balita isang buwan na ang nakalipas.
neutral,"The Nerds, who hole up in the economics and computer classrooms, have an even more hopeless position.",The Nerds are not good with social interaction.,"Ang mga Nerd, na pumapasok sa mga silid - aralan sa ekonomiya at computer, ay may higit pang kalagayan na wala nang pag - asa.",Ang mga Nerd ay hindi mabuti sa interaksiyong panlipunan.
neutral,"So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.",I never got a chance to ask the question.,"Kaya nga pala, tinatawag kong Ramona ang tawag ko dahil sa may tanong ako, para ba akong, Okay, hayaan mo akong magmadali, at may tanong ako tungkol sa isang bagay na ginagawa ko.",Kailanman ay hindi ako nagkaroon ng pagkakataon na magtanong.
neutral,for in the image of God he made Adam.,Adam was delighted that he was made in the image of God.,Sapagka't ayon sa larawan ng Dios ay ginawa niya si Adan.,Tuwang - tuwa si Adan na siya'y ginawa ayon sa larawan ng Diyos.
neutral,You are not sure you've been clear about whose side you're on.,We don't know who you support in the election.,Hindi mo tiyak kung kanino ka panig.,Hindi namin alam kung sino ang sinusuportahan ninyo sa halalan.
neutral,"As you pass through them you may see an old chimney breaking above the tree line, a sure sign that the village was once part of a hacienda.","The chimney, among other things, indicate the village used to be part of a hacienda.","Habang dumaraan ka sa mga ito ay makikita mo ang isang matandang tsiminea na nagsisimula sa itaas ng hanay ng mga punungkahoy, isang tiyak na palatandaan na ang nayon ay dating bahagi ng isang hacienda.","Bukod sa iba pang mga bagay, ang tsiminea ay nagpapahiwatig na ang nayon ay dating bahagi ng isang hacienda."
neutral,But the question cannot even be asked when the details are mislaid.,Just clearing up the the details will make the question more understandable.,Subalit ang tanong ay hindi man lamang maitatanong kung ang mga detalye ay mali.,Ang basta pag - aalis sa mga detalye ay gagawa sa tanong na mas madaling maunawaan.
neutral,"We went about, and it's been a race ever since.",The race had begun ever since we were four.,"Nagpatuloy kami, at ito'y naging isang karera mula noon.",Nagsimula na ang takbuhan mula pa noong kami'y apat na taóng gulang.
neutral,"On weekends you can join the locals in the Parque de Palapas, where the strains of rock, salsa, and folk music can blend together into a bewildering cacophony.",The Parque de Palapas is where people have barbecues all the time.,"Sa mga dulo ng sanlinggo maaari kang sumama sa mga tagaroon sa Parque de Palapas, kung saan ang mga uri ng rock, salsa, at katutubong musika ay maaaring magsama - sama tungo sa nakalilitong cacophony.",Ang Parque de Palapas ay kung saan ang mga tao ay may mga ambulansya sa lahat ng panahon.
neutral,Culebra was known as the Spanish Virgin Island until the American takeover it lies halfway between Puerto Rico and St. Thomas in the US Virgin Islands.,Culebra is somewhere between Puerto Rico and St. Thomas in the US Virgin Islands.,Kilala ang Culebra bilang Isla ng Birheng Kastila hanggang sa pag-aalsa nito ang Amerikano sa kalagitnaan sa pagitan ng Puerto Rico at San Tomas sa Kapuluang Birhen ng US.,Ang Culebra ay nasa pagitan ng Puerto Rico at St. Thomas sa US Virgin Islands.
neutral,"I was puzzled by Rebecca Christian's mention in  Blessed Be the Words That Bind' [XVI,3] of  Vikki Carr's song, `Is That All There Is?",Rebecca explained that I did not understand the words because I was an ignorant buffoon.,"Nagtaka ako sa pagbanggit ni Rebecca Christian sa Pinagpalang Maging ang mga Salitang Bind' [XVI,3] ng awit ni Vikki Carr, `Is That All Is?",Ipinaliwanag ni Rebecca na hindi ko nauunawaan ang mga salita sapagkat ako'y ignorante.
neutral,The French findings were basically  Eighteen million prescriptions were filled for fen-phen in the United States last year.,Millions of people took a diet drug that made them lost 20 pounds each.,Ang mga natuklasang Pranses ay pangunahing labing-walong milyong mga reseta ay napunan para sa fen-hen sa Estados Unidos noong nakaraang taon.,Angaw - angaw na mga tao ang uminom ng isang gamot para sa diyeta na nagpapayat sa kanila ng 20 libra bawat isa.
neutral,"For example, employees could be required to use the agencydesignated charge card for hotel and certain other costs.",Employees needed to charge all their food to the card.,"Halimbawa, maaaring hilingin sa mga empleado na gamitin ang agencydesignated charge card para sa otel at iba pang mga gastos.",Kailangang ipataw ng mga empleado ang lahat ng kanilang pagkain sa kard.
neutral,"But... but... aboard this ship...?  The officer made a gesture of helplessness, and, surrendering to his bewilderment, fell abruptly silent.",The officer was shocked senseless by the vomiting onto the deck.,"Subalit... ngunit... sa barkong ito... ay gumawa ang opisyal ng isang gawa ng kawalang - kaya, at, palibhasa'y sumuko sa kaniyang kalituhan, siya'y biglang tumahimik.",Ang opisyal ay nabigla sa pagsusuka sa kubyerta.
neutral,"For this fiscal year and next, the law school is required to absorb reductions in its state appropriation and increased health costs totaling more than $400,000.",The law school was the first program to face budget cuts.,"Para sa fiscal year at susunod, ang paaralan ng batas ay hinihiling upang masipsip ang mga pagbawas sa estado nito apropriasyon at tumaas na gastos sa kalusugan na may kabuuang higit sa $400,000.",Ang paaralan ng abogasya ang unang programa na humarap sa pagbabawas ng badyet.
neutral,um well i sort of own a computer we have two PCs at home but neither one do we really own um both are no both of them are sort of work related and,I have an Apple and an HP computer at home.,Magandang i uri ng sariling kompyuter mayroon tayong dalawang PC sa bahay ngunit walang sinuman sa atin ang talagang nagmamay-ari ng um na parehong hindi sila parehong uri ng trabahong magkaugnay at,Mayroon akong Apple at HP computer sa bahay.
