gold_label,sentence1,sentence2
neutral,"Maaari mo ring samantalahin ang aming espesyal na alok na 2-taong pagiging miyembro sa halagang $30, na may halos 60% na diskwento sa aming karaniwang presyo para sa 2 taon.",Magkakahalaga lang ito ng $30 kung sasali ka sa susunod na dalawang araw.
neutral,Kaya't patuloy silang lumilikha ng isang hindi nakapirming mundo kung saan tanging ang medyo kamakailang nakaraan ang may balidong datos.,Ang mga hipotetikong mundo na ito ay ginagamit upang mahulaan ang mga pattern ng panahon.
neutral,"Gayunpaman, natapos ko na at umuwi ako ng alas-6:30 ngayong araw, at iyon ang araw ko.",Ginugol ko ang karamihan ng araw sa pag-aayos ng isang kumplikadong isyu sa pagsingil ng customer.
neutral,Ang batas ay hindi nagliligtas sa indibidwal kundi sa komunidad o sa bansa bilang isang buo.,Ang batas ay tutubos sa Amerika.
neutral,"Ang iyong determinasyon ang nagligtas sa akin mula sa isang kakila-kilabot na panganib, inamin niya.","Hindi niya gusto na tulungan siya nito, ngunit nagpasalamat pa rin siya."
neutral,"Sa ibang bahagi ng hardin ng prinsipe, sa isang makabagong gusaling tinatawag na Sailor's House (Casa de Marinos), malalaman mo kung ano ang nangyari sa kaakit-akit na pangkat ng Tagus ng hariang hukbong-dagat.",Ang Bahay ng Mamaril ay dinisenyo ng isang tanyag na Italyanong arkitekto.
neutral,"Sa katunayan, ang salitang quark ay nasa OED bilang pandiwa na nangangahulugang 'umkroak,' na may mga sanggunian noong ika-19 na siglo tungkol sa mga palaka, uwak, at tagak.",Karamihan sa mga tao ay hindi alam ang pinagmulan ng salitang quark at na tumutukoy ito sa tunog na ginagawa ng palaka.
neutral,at maaari rin silang maging napakabait pagkatapos silang masanay.,Mabilis silang nagbabago habang sumasailalim sa pagsasanay.
neutral,Ito ang legal na saligan ng nostalhikong pagyakap ni Justice Anthony Kennedy sa mga karapatan ng mga estado.,Pabor si Kennedy sa karapatan ng mga estado pagdating sa aborsyon.
neutral,Ang ikalawang antas ng kabulaanan ay ipinagtatanggol ni Brock si Hillary upang itaguyod ang sarili niyang eksklusibong iskandalo.,Naniniwala ang ilang tao na hindi totoo na ipinagtatanggol ni Brock si Hillary upang itaas ang sarili niya.
neutral,"Ang salitang feisty, na parang bula, ay nagsimula sa Gitnang Ingles bilang fysten, fisten na nangangahulugang 'mag-utot'.",Ang Fiesty ay umiiral na sa loob ng 100 taon.
neutral,Huwag mong isipin na tinatanggap ko ito nang kusang-loob.,"Hindi ko ito gustong tanggapin, ngunit maaari akong kumbinsihin."
neutral,Pinagsama ang mga sistema ng mapagkukunang pantao at mabilis na itinakda ang mga bagong estrukturang korporatibo upang matiyak ang patuloy na suporta sa pinalawak na base ng mga kustomer.,"Sa pamamagitan ng pagsasama-sama ng mga sistema ng mapagkukunang pantao, nabuksan ang daan para sa mga bagong estrukturang korporatibo."
neutral,"Bago mo ako bugbugin, bakit hindi mo muna hayaan akong uminom ng isang malaking baso ng gatas na tsokolate?",Gusto kong uminom ng gatas na tsokolate at magpahinga nang kaunti dahil alam kong nagkamali ako.
neutral,Hindi ito lihim sa mga nagtitinda ng musika.,Alam na ng mga nagtitinda ng musika ang tungkol sa isyung ito bago pa ito lumabas sa publiko isang buwan na ang nakalipas.
neutral,"Ang mga nerd, na nagtatago sa mga silid-aralan ng ekonomiks at kompyuter, ay may mas walang pag-asang kalagayan.",Hindi magaling makihalubilo ang mga Nerds.
neutral,"Kaya nga tinawagan ko ulit si Ramona dahil may tanong ako tungkol sa isang bagay na ginagawa ko. Sabi ko, ""Sige, bilisan ko na ito,"" at may tanong ako tungkol sa isang bagay na ginagawa ko.",Hindi ko kailanman nagkaroon ng pagkakataon na itanong ang tanong.
neutral,Sapagkat sa larawan ng Diyos nilikha niya si Adan.,Natulala si Adan na siya ay nilikha sa wangis ng Diyos.
neutral,Hindi ka sigurado kung naging malinaw ka kung saang panig ka.,Hindi namin alam kung sino ang sinusuportahan mo sa halalan.
neutral,"Habang dumaraan ka rito, makikita mo ang isang lumang tsimenea na sumusungaw sa itaas ng linya ng mga puno, isang tiyak na palatandaan na ang nayon ay minsang bahagi ng isang hacienda.","Ang tsimenea, bukod sa iba pang mga palatandaan, ay nagpapahiwatig na ang nayon ay dati nang bahagi ng isang hacienda."
neutral,Ngunit hindi maaaring itanong ang tanong kapag naligaw ang mga detalye.,Ang paglilinaw lamang sa mga detalye ay magpapadali sa pag-unawa sa tanong.
neutral,"Tumakbo kami, at mula noon ay naging isang karera na ito.",Nagsimula na ang karera mula pa noong apat pa lang kami.
neutral,"Sa mga katapusan ng linggo, maaari kang makisali sa mga lokal sa Parque de Palapas, kung saan ang mga tunog ng rock, salsa, at musikang folk ay maaaring maghalo at bumuo ng nakalilitong kaguluhan ng tunog.",Ang Parque de Palapas ang lugar kung saan palagi nagba-barbecue ang mga tao.
neutral,Ang Culebra ay kilala bilang Espanyol na Isla ng Birhen hanggang sa pagsakop ng Amerika; matatagpuan ito sa kalagitnaan ng Puerto Rico at St. Thomas sa US Virgin Islands.,Ang Culebra ay nasa pagitan ng Puerto Rico at St. Thomas sa US Virgin Islands.
neutral,"Nalilito ako sa binanggit ni Rebecca Christian sa 'Blessed Be the Words That Bind' [XVI,3] tungkol sa kantang 'Is That All There Is?' ni Vikki Carr.",Ipinaliwanag ni Rebecca na hindi ko naintindihan ang mga salita dahil ako ay isang ignorante at payaso.
neutral,"Ang natuklasan ng mga Pranses ay, sa pangkalahatan, labingwalong milyong reseta ng fen-phen ang naisakatuparan sa Estados Unidos noong nakaraang taon.",Milyon-milyong tao ang uminom ng gamot sa pagdidiyeta na nagpa-wala sa kanila ng tig-20 libra.
neutral,"Halimbawa, maaaring kailanganin ang mga empleyado na gumamit ng charge card na itinalaga ng ahensya para sa hotel at iba pang tiyak na gastusin.",Kinakailangan ng mga empleyado na i-charge ang lahat ng kanilang pagkain sa card.
neutral,"Ngunit... ngunit... sa barkong ito...?   Gumawa ng kilos ng kawalan ng magawa ang opisyal, at, sa pag-uurong sa kanyang pagkalito, bigla siyang naging tahimik.",Ang opisyal ay nabigla nang nawalan ng malay nang sumuka sa deck.
neutral,"Para sa taong pananalapi na ito at sa susunod, kinakailangang pasanin ng paaralan ng batas ang pagbawas sa pondo mula sa estado at ang pagtaas ng gastos sa kalusugan na umaabot sa higit sa $400,000.",Ang paaralan ng batas ang unang programa na nakaranas ng pagbawas sa badyet.
neutral,"Uhm, parang may-ari ako ng kompyuter. May dalawang PC kami sa bahay pero hindi naman talaga namin pag-aari. Uhm, pareho silang medyo para sa trabaho at",Mayroon akong Apple at HP na kompyuter sa bahay.
neutral,"Ang tunog, na may lapad na humigit-kumulang 3 km (2 milya), ay pinaniniwalaang isang napakalaking kaldera na nabuo matapos ang isang makapangyarihang pagsabog ng bulkan.","Ang dalawang milyang tunog ay maaaring sanhi ng maraming bagay, kabilang ang pagsabog ng bulkan."
neutral,Ha! Naglabas si Wolverstone ng pagsabog ng pang-iirap na tawa.,Akala ni Wolverstone na nakakatawa iyon.
neutral,"12HEI ang nag-isponsor ng pag-aaral na Pambansang Pag-aaral sa Morbididad, Mortalidad, at Polusyon sa Hangin (NMMAPS) na isinagawa sa maraming lungsod.",Ang 12HEI ay direktang may kaugnayan sa polusyon sa hangin.
neutral,"May VCR ako at kinailangan ko nang isauli ito nang ilang beses dahil sa parehong sira sa bahagi, at hindi pa rin talaga maganda ang larawan.",Ang VCR ay gumagana lamang ng halos isang linggo at pagkatapos ay nasisira na naman.
neutral,"Si Pitt, na nanonood sa tagpo mula sa barandilya ng quarter-deck, ay nagsabi sa atin na ang kanyang kamahalan ay kasing seryoso ng isang parson sa pagbitay.",Hindi pa kailanman nakita ni Pitt ang Kanyang Kagalang-galang na ganoon kalubha noon.
neutral,"Ngunit naubos ang kanyang oras sa pagtatalaga ng mga bagong opisyal at sa paghahanda ng mga dokumento ng pundasyon para sa bagong patakaran sa depensa, sa quadrennial defense review, sa defense planning guidance, at sa umiiral na mga contingency plan.",Ang huling dokumento ng patakaran sa pagtatanggol ay mahigit limang daang pahina ang haba.
neutral,Kaya nanatili siya sa Augusta pagkatapos noon?,Nanatili ba siya sa Augusta pagkatapos ng kaguluhan?
neutral,Hindi namin alam kung ano ang U2 at walang nakakaalam ng anumang tungkol sa U2.,Hindi namin alam kung ano ang itatawag sa bagay na nakita namin sa himpapawid.
neutral,"Bilang resulta, hindi lubos na naunawaan ng mga Amerikano at ng mga Saudi ang lahat ng aspeto ng kanilang bilateral na ugnayan, kabilang ang papel ng Saudi sa mga estratehiya ng Estados Unidos para isulong ang proseso ng kapayapaan sa Gitnang Silangan.",Inyanyaya ng mga Saudiano ang sugo ng Estados Unidos na pumunta at makipagtulungan sa proyekto ng kapayapaan sa Gitnang Silangan.
