id,sentence1,sentence2,label,sentence1_translated,sentence2_translated
29568,"The estuary of the Batten Kill is in East Dorset , Vermont , and the source of the river is in Easton , New York .","The mouth of the Batten Kill is in East Dorset , Vermont , and the source of the river is in Easton , New York .",1,"Ang bunganga ng Batten Kill ay nasa East Dorset, Vermont, at ang pinagmumulan ng ilog ay nasa Easton, New York.","Ang bunganga ng Batten Kill ay nasa East Dorset, Vermont, at ang pinagmumulan ng ilog ay nasa Easton, New York."
45829,"La tempestad ( International translation : The Tempest , dubbed The Storm by Univision ) is a 2013 Mexican telenovela produced by Salvador Mejía Alejandre for Televisa .","La Tempestad ( International Translation : The Storm , called by Univision the Storm ) is a 2013 Mexican telenovela produced by Salvador Mejía Alejandre for Televisa .",1,"Ang La tempestad (Internasyonal na salin: The Tempest, na binansagang The Storm ng Univision) ay isang telenovela sa Mexico noong 2013 na prinodyus ni Salvador Mejía Alejandre para sa Televisa.","Ang La Tempestad (Internasyonal na Salin: The Storm, na tinatawag ng Univision na the Storm) ay isang telenovela sa Mexico noong 2013 na prinodyus ni Salvador Mejía Alejandre para sa Televisa."
46990,"Since 2006 , when Josephine Alhanko placed himself in the Top 20 , Cerljen was the first delegate from Sweden to the international final .",Cerljen was also the first delegate from Sweden at the international final since 2006 when Josephine Alhanko placed in the Top 20 .,1,"Mula noong 2006, nang mapasama si Josephine Alhanko sa Top 20, si Cerljen ang unang delegado mula sa Sweden sa internasyonal na final.",Si Cerljen din ang unang delegado mula sa Sweden sa international final simula noong 2006 nang makapasok si Josephine Alhanko sa Top 20.
13893,"He married Lady Florence Jane Taylour , daughter of Amelia Thompson , 3rd Marquess of Headfort and Thomas Taylour , on 5 August 1875 .","He married Lady Florence Jane Taylour , the daughter of Amelia Thompson , 3rd Marquess of Headfort and Thomas Taylour , on 5 August 1875 .",1,"Pinakasalan niya si Lady Florence Jane Taylour, anak nina Amelia Thompson, Ika-3 Marquess ng Headfort at Thomas Taylour, noong 5 Agosto 1875.","Pinakasalan niya si Lady Florence Jane Taylour, ang anak nina Amelia Thompson, Ika-3 Marquess ng Headfort at Thomas Taylour, noong 5 Agosto 1875."
41986,Elati is a village in the Kozani Regional Unit in Greece .,"Elati is a village in the Kozani regional unit , Greece .",1,Ang Elati ay isang nayon sa Kozani Regional Unit sa Gresya.,"Ang Elati ay isang nayon sa rehiyonal na yunit ng Kozani, Gresya."
1690,He had four siblings : twins Hope Gimbel and Caral Gimbel and the twins Peter Gimbel and David Gimbel .,He had four siblings : twins Peter Gimbel and David Gimbel ; and twins Hope Gimbel and Caral Gimbel .,1,Mayroon siyang apat na kapatid: ang kambal na sina Hope Gimbel at Caral Gimbel at ang kambal na sina Peter Gimbel at David Gimbel.,Siya ay may apat na kapatid: kambal na sina Peter Gimbel at David Gimbel; at kambal na sina Hope Gimbel at Caral Gimbel.
3098,"In addition , they are physically active , free to learn and eager to explore .","In addition , they are actively physically active , free to learn and eager to explore .",1,"Bukod pa rito, sila ay pisikal na aktibo, malayang matuto at sabik na maggalugad.","Bukod pa rito, sila ay aktibong pisikal na aktibo, malayang matuto at sabik na maggalugad."
26108,"Solomons was born in Orsett , Essex and brought up with his four siblings in Thorpe Bay by his mother and father .","Solomons was born in Orsett , Essex and with his four siblings in Thorpe Bay brought up by his mother and his father .",1,"Si Solomons ay ipinanganak sa Orsett, Essex at lumaki kasama ang kanyang apat na kapatid sa Thorpe Bay ng kanyang ina at ama.","Si Solomons ay ipinanganak sa Orsett, Essex at kasama ang kanyang apat na kapatid sa Thorpe Bay na pinalaki ng kanyang ina at ama."
26641,"Regardless of quick sorrow , he was known for his spiritual understanding and discipline .","He was known for his spiritual understanding and discipline , regardless of quick suffering .",1,"Sa kabila ng mabilis na kalungkutan, kilala siya sa kanyang espirituwal na pag-unawa at disiplina.","Kilala siya sa kanyang espirituwal na pag-unawa at disiplina, sa kabila ng mabilis na pagdurusa."
23768,"Other invitations followed and more sisters arrived for a hospital in Iloilo , schools in Vigan , Tuguegarao and Manila and a leprosary in Culion .","Other invitations followed and more Sisters arrived for a hospital in Iloilo , schools in Vigan , Tuguegarao , and Manila , and a Leprosarium in Culion .",1,"Sumunod ang iba pang mga imbitasyon at dumating ang iba pang mga madre para sa isang ospital sa Iloilo, mga paaralan sa Vigan, Tuguegarao at Maynila at isang ketongin sa Culion.","Sumunod ang iba pang mga imbitasyon at dumating ang mas maraming madre para sa isang ospital sa Iloilo, mga paaralan sa Vigan, Tuguegarao, at Maynila, at isang Leprosarium sa Culion."
