gold_label,sentence1,sentence2
neutral,"You may also take advantage of our special 2-year membership offer for $30, a savings of almost 60% off our regular 2 year rate.",It costs $30 only if you join in the next two days.
neutral,"Therefore, they persistently create a nonstationary world in which only the relatively recent past has valid data.",These hypothetical worlds are used to forecast weather patterns.
neutral,"Anyhow, so I finished came home at 6:30 today and that was my day.",I spent most of the day dealing with a complicated customer billing issue.
neutral,The law redeems not the individual but the community or the nation as a whole.,The law will redeem America.
neutral,"Your resolve delivered me from a horrible danger,  she admitted.","She did not want him to help her, though was grateful anyway."
neutral,"Elsewhere in the prince's garden, in a modern building called the Sailor's House (Casa de Marinos), you can find out what became of the quaint  Tagus squadron  of the royal fleet.",The Sailor's House was designed by a famous Italian architect.
neutral,"Actually, the word quark is in the OED as a verb meaning `croak,' with 19th-century references to frogs, rooks, and herons.",Most people would not know the origin of the word quark and that it referenced the noise made by a frog.
neutral,and they can be very nice too after after they've been trained,They change rapidly while undergoing training.
neutral,This is the legal underpinning of Justice Anthony Kennedy's nostalgic embrace of states' rights.,Kennedy favors states rights when it comes to abortion.
neutral,"The second level of falsity is that Brock defends Hillary only to elevate his own, proprietary scandal.",Some people believe it is false that Brock defends Hillary to elevate himself.
neutral,"Feisty, like fizzle, began as Middle English fysten, fisten `to fart.",Fiesty has been around for 100 years.
neutral,Don't think I accept it willingly.,"I am not willing to accept it, but I could be convinced."
neutral,Human resources systems were consolidated and new corporate structures were quickly defined to ensure continued support to the enlarged customer base.,"By consolidating human resources systems, room was created for new corporate structures."
neutral,"Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?",I'd love to drink some chocolate milk and relax a bit since I know i messed up.
neutral,This is no secret to music retailers.,Music retailers knew about this issue before the news broke to the public a month ago.
neutral,"The Nerds, who hole up in the economics and computer classrooms, have an even more hopeless position.",The Nerds are not good with social interaction.
neutral,"So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.",I never got a chance to ask the question.
neutral,for in the image of God he made Adam.,Adam was delighted that he was made in the image of God.
neutral,You are not sure you've been clear about whose side you're on.,We don't know who you support in the election.
neutral,"As you pass through them you may see an old chimney breaking above the tree line, a sure sign that the village was once part of a hacienda.","The chimney, among other things, indicate the village used to be part of a hacienda."
neutral,But the question cannot even be asked when the details are mislaid.,Just clearing up the the details will make the question more understandable.
neutral,"We went about, and it's been a race ever since.",The race had begun ever since we were four.
