,gold_label,sentence1,sentence2
0,neutral,"You may also take advantage of our special 2-year membership offer for $30, a savings of almost 60% off our regular 2 year rate.",It costs $30 only if you join in the next two days.
1,neutral,"Therefore, they persistently create a nonstationary world in which only the relatively recent past has valid data.",These hypothetical worlds are used to forecast weather patterns.
2,neutral,"Anyhow, so I finished came home at 6:30 today and that was my day.",I spent most of the day dealing with a complicated customer billing issue.
3,neutral,The law redeems not the individual but the community or the nation as a whole.,The law will redeem America.
4,neutral,"Your resolve delivered me from a horrible danger,  she admitted.","She did not want him to help her, though was grateful anyway."
5,neutral,"Elsewhere in the prince's garden, in a modern building called the Sailor's House (Casa de Marinos), you can find out what became of the quaint  Tagus squadron  of the royal fleet.",The Sailor's House was designed by a famous Italian architect.
6,neutral,"Actually, the word quark is in the OED as a verb meaning `croak,' with 19th-century references to frogs, rooks, and herons.",Most people would not know the origin of the word quark and that it referenced the noise made by a frog.
7,neutral,and they can be very nice too after after they've been trained,They change rapidly while undergoing training.
8,neutral,This is the legal underpinning of Justice Anthony Kennedy's nostalgic embrace of states' rights.,Kennedy favors states rights when it comes to abortion.
9,neutral,"The second level of falsity is that Brock defends Hillary only to elevate his own, proprietary scandal.",Some people believe it is false that Brock defends Hillary to elevate himself.
