id,sentence1,sentence2,label,sentence1_opus,sentence2_opus
29568,"The estuary of the Batten Kill is in East Dorset , Vermont , and the source of the river is in Easton , New York .","The mouth of the Batten Kill is in East Dorset , Vermont , and the source of the river is in Easton , New York .",1,"Ang wawa ng Bitten Kill ay sa Silangang Dorset , Vermont , at ang pinagmumulan ng ilog ay sa Easton , New York .","Ang bunganga ng Bitten Kill ay nasa Silangang Dorset , Vermont , at ang pinagmulan ng ilog ay sa Easton , New York ."
45829,"La tempestad ( International translation : The Tempest , dubbed The Storm by Univision ) is a 2013 Mexican telenovela produced by Salvador Mejía Alejandre for Televisa .","La Tempestad ( International Translation : The Storm , called by Univision the Storm ) is a 2013 Mexican telenovela produced by Salvador Mejía Alejandre for Televisa .",1,"Ang La storyad (Pambansang salin : The Tempest , tinaguriang The Storm by Univision ) ay isang 2013 Mexican telenovela na ginawa ni Salvador Mejía Alejandre para sa Televisa .","Ang La Tempestad ( International Translation : The Storm , na tinatawag ng Univision the Storm ) ay isang 2013 Mexican telenovela na ginawa ni Salvador Mejía Alejandre para sa Televisa ."
46990,"Since 2006 , when Josephine Alhanko placed himself in the Top 20 , Cerljen was the first delegate from Sweden to the international final .",Cerljen was also the first delegate from Sweden at the international final since 2006 when Josephine Alhanko placed in the Top 20 .,1,"Magmula noong 2006 , nang ilagay ni Josephine Alhanko ang kanyang sarili sa Top 20 , si Cerljen ang unang delegado mula Sweden hanggang sa pandaigdigang final .",Si Cerljen rin ang unang delegado mula sa Sweden sa pandaigdigang final mula noong 2006 nang ilagay si Josephine Alhanko sa Top 20 .
13893,"He married Lady Florence Jane Taylour , daughter of Amelia Thompson , 3rd Marquess of Headfort and Thomas Taylour , on 5 August 1875 .","He married Lady Florence Jane Taylour , the daughter of Amelia Thompson , 3rd Marquess of Headfort and Thomas Taylour , on 5 August 1875 .",1,"Napangasawa niya sina Lady Florence Jane Taylour , anak na babae ni Amelia Thompson , 3rd Marquess of Headfort at Thomas Taylour , noong 5 Agosto 1875 .","Napangasawa niya sina Lady Florence Jane Taylour , ang anak na babae ni Amelia Thompson , 3rd Marquess of Headfort at Thomas Taylour , noong 5 Agosto 1875 ."
41986,Elati is a village in the Kozani Regional Unit in Greece .,"Elati is a village in the Kozani regional unit , Greece .",1,Ang Elati ay isang nayon sa Kozani Regional Unit sa Gresya .,"Ang Elati ay isang baryo sa rehiyunal na yunit ng Kozani , Gresya ."
1690,He had four siblings : twins Hope Gimbel and Caral Gimbel and the twins Peter Gimbel and David Gimbel .,He had four siblings : twins Peter Gimbel and David Gimbel ; and twins Hope Gimbel and Caral Gimbel .,1,Mayroon siyang apat na kapatid : kambal na sina Hope Gimbel at Caral Gimbel at ang kambal na sina Peter Gimbel at David Gimbel .,Mayroon siyang apat na kapatid : kambal Peter Gimbel at David Gimbel ; at kambal na sina Hope Gimbel at Caral Gimbel .
3098,"In addition , they are physically active , free to learn and eager to explore .","In addition , they are actively physically active , free to learn and eager to explore .",1,"Bukod dito, sila ay pisikal na aktibo , malayang matuto at sabik na galugarin .","Bukod dito, sila ay aktibo sa pisikal na aktibo , malayang matuto at sabik na galugarin ."
26108,"Solomons was born in Orsett , Essex and brought up with his four siblings in Thorpe Bay by his mother and father .","Solomons was born in Orsett , Essex and with his four siblings in Thorpe Bay brought up by his mother and his father .",1,"Si Solomons ay ipinanganak sa Orsett , Essex at pinalaki kasama ang kanyang apat na kapatid sa Thorpe Bay ng kanyang ina at ama .","Si Solomons ay ipinanganak sa Orsett , Essex at kasama ang kanyang apat na kapatid sa Thorpe Bay na pinalaki ng kanyang ina at kanyang ama ."
26641,"Regardless of quick sorrow , he was known for his spiritual understanding and discipline .","He was known for his spiritual understanding and discipline , regardless of quick suffering .",1,"Anuman ang mabilis na kalungkutan , siya ay kilala sa kanyang espirituwal na pang-unawa at disiplina .","Kilala siya dahil sa kanyang espirituwal na pang-unawa at disiplina , anuman ang mabilis na pagdurusa ."
23768,"Other invitations followed and more sisters arrived for a hospital in Iloilo , schools in Vigan , Tuguegarao and Manila and a leprosary in Culion .","Other invitations followed and more Sisters arrived for a hospital in Iloilo , schools in Vigan , Tuguegarao , and Manila , and a Leprosarium in Culion .",1,"Ang iba pang mga imbitasyon ay sumunod at higit pang mga kapatid na babae ang dumating para sa isang ospital sa Iloilo , mga paaralan sa Vigan , Tuguegarao at Maynila at isang leprosaryo sa Culion .","Ang iba pang mga imbitasyon ay sumunod at higit pang mga Sister ang dumating para sa isang ospital sa Iloilo , mga paaralan sa Vigan , Tuguegarao , at Maynila , at isang Leprosarium sa Culion ."
39715,"In 1975 a group of five young photographers ( including Bronson Fellow Christopher Rauschenberg , son of Robert Rauschenberg ) pooled their resources to start a small gallery .","In 1975 , a group of five young photographers ( including Bronson Fellow Christopher Rauschenberg , son of Robert Rauschenberg ) collected their resources to start a small gallery .",1,"Noong 1975, isang grupo ng limang batang photographer (kabilang si Bronson Fellow Christopher Rauschenberg , anak ni Robert Rauschenberg ) ay nag-ambag ng kanilang mga yaman upang simulan ang isang maliit na galerya .","Noong 1975 , ang isang grupo ng limang batang photographer (kabilang ang Bronson Fellow Christopher Rauschenberg , anak ni Robert Rauschenberg ) ay nagtipon ng kanilang yaman upang simulan ang isang maliit na galerya ."
23,"In mathematical astronomy , his fame is due to the introduction of the astronomical globe , and his early contributions to understanding the movement of the planets .",His fame is due in mathematical astronomy to the introduction of the astronomical globe and to his early contributions to the understanding of the movement of the planets .,1,"Sa matematikal na astronomiya , ang kanyang kasikatan ay dahil sa pagpapakilala ng astronomikal na globo , at ang kanyang mga maagang kontribusyon sa pag-unawa ng paggalaw ng mga planeta .",Ang kanyang katanyagan ay dahil sa astronomiyang matematikal sa pagpapakilala ng globong astronomikal at sa kanyang mga maagang kontribusyon sa pag-unawa ng paggalaw ng mga planeta .
24797,"From 1898 to 1902 , about 1,300 birds were imported from America and released from Southland to Northland in many parts of the North and South Islands .","From 1898 to 1902 , some 1300 birds were imported from America and released in many parts of the North and South Islands , from Southland to Northland .",1,"Mula 1898 hanggang 1902 , halos 1,300 ibon ang inangkat mula sa Amerika at pinakawalan mula sa Timog-kanluran hanggang Hilagang-silangan sa maraming bahagi ng Hilaga at Timog Kapuluan .","Mula 1898 hanggang 1902 , ang mga 1300 ibon ay inangkat mula sa Amerika at pinakawalan sa maraming bahagi ng North and South Islands , mula sa Southland hanggang Northland ."
34886,"The five elected candidates were Bahrain , Brazil , Gabon , Gambia and Slovenia .","The five candidates elected were Bahrain , Brazil , Gabon , Gambia , and Slovenia .",1,"Ang limang nahalal na kandidato ay sina Bahrain , Brazil , Gabon , Gambia at Slovenia .","Ang limang kandidato na nahalal ay sina Bahrain , Brazil , Gabon , Gambia , at Slovenia ."
4410,The next two functions are analogous to the above two functions and are used for base clusters .,The next two functions are analogous to the above two and are used for base clusters .,1,Ang susunod na dalawang mga tungkulin ay analogous sa nabanggit na dalawang mga tungkulin at ginagamit para sa mga base clusters .,Ang susunod na dalawang mga tungkulin ay analogous sa nabanggit na dalawa at ito ay ginagamit para sa mga base clusters .
9941,The Squadron RAF was a unit of the Royal Air Force in Egypt during the Second World War and then in Italy and North Africa .,651 Squadron RAF was a unit of the Royal Air Force in Egypt during the Second World War and afterwards in Italy and North Africa .,1,Ang Squadron RAF ay isang yunit ng Royal Air Force sa Ehipto noong Ikalawang Digmaang Pandaigdig at pagkatapos ay sa Italya at Hilagang Aprika .,651 Squadron RAF ay isang yunit ng Royal Air Force sa Ehipto noong Ikalawang Digmaang Pandaigdig at pagkatapos ay sa Italya at Hilagang Aprika .
4704,The 1983 TV movie `` Sam Elliott : The Empty Copper Sea '' starred Travis McGee .,The TV movie 1983 `` Sam Elliott : The Empty Copper Sea '' played Travis McGee .,1,Ang pelikula sa TV ng 1983 ``` Sam Elliott : The Eft Copper Sea ' starred Travis McGee .,Ang pelikulang TV 1983 ```` Sam Elliott : The Eft Copper Sea '' ay gumanap bilang Travis McGee .
43116,"Bentley and carvings by Hugh Stannus , while the meeting room contains a decorative ceiling by Thomas Earp .",Bentley and carvings by Hugh Stannus while the board room contains a decorative ceiling by Thomas Earp .,1,"Ang Bentley at mga inukit ni Hugh Stannus , habang ang silid na tagpuan ay naglalaman ng isang mapalamuting kisame ni Thomas Earp .",Ang Bentley at inukit ni Hugh Stannus samantalang ang silid ng tabla ay naglalaman ng isang mapalamuting kisame ni Thomas Earp .
39241,"In bioinformatics , inverted indexes are very important in the sequence assembly of short fragments of sequenced DNA .","In bioinformatics , inverted indices in the sequence assembly of short fragments of sequenced DNA are very important .",1,"Sa bioinformatics , ang mga baligtad na indise ay napakahalaga sa pagkakasunud-sunod na kapulungan ng mga maikling piraso ng mga magkakasunud-sunod na DNA .","Sa bioinformatics , ang baligtad na mga indiks sa pagkakasunud-sunod ng mga maikling piraso ng DNA na may pagkakasunud-sunod ay napakahalaga ."
39290,"It is endemic to Hawaii , where it is known only from the northern Koolau Mountains of Oahu .","It is endemic to Hawaii , where it is only known from the northern Koolau Mountains of Oahu .",1,"Ito ay endemiko sa Hawaii , kung saan ito ay kilala lamang mula sa hilagang Koolau Mountains ng Oahu .","Ito ay endemiko sa Hawaii , kung saan ito ay kilala lamang mula sa hilagang Koolau Mountains ng Oahu ."
1923,"The album contains 16 tracks recorded during two May 2002 performances , one in Memphis , Tennessee , and the other in Chicago , Illinois .","The album contains 16 tracks recorded during two appearances in May 2002 , one in Memphis , Tennessee , and the other in Chicago , Illinois .",1,"Ang album ay naglalaman ng 16 tracks na naitala sa panahon ng dalawang Mayo 2002 pagtatanghal , isa sa Memphis , Tennessee , at ang isa pa sa Chicago , Illinois .","Ang album ay naglalaman ng 16 na tracks na naitala sa panahon ng dalawang paglabas noong Mayo 2002 , isa sa Memphis , Tennessee , at ang isa pa sa Chicago , Illinois ."
104,Ruffell was employed as an engineer in Southampton Docks and died on 3 October 1940 in Southampton on his 73rd birthday .,"Ruffell was employed as an engineer in Southampton Docks . He died in Southampton on his 73rd birthday , 3 October 1940 .",1,Si Ruffell ay nagtrabaho bilang isang inhinyero sa Southampton Docks at namatay noong 3 Oktubre 1940 sa Southampton sa kanyang ika- 73 kaarawan .,"Si Ruffell ay nagtrabaho bilang isang inhinyero sa Southampton Docks . Namatay siya sa Southampton sa kanyang ika- 73 kaarawan , 3 Oktubre 1940 ."
22637,The tendered speed limit is generally reduced as low as within the two cities .,"The posted speed limit is generally , reduced as low as within the two cities .",1,Ang pinalambot na takdang bilis ay pangkalahatang nababawasan na kasing-baba ng sa loob ng dalawang lungsod .,"Ang nakapaskil na hangganan ng bilis ay pangkalahatan , nabawasan ng kasing-baba ng nasa loob ng dalawang lungsod ."
4131,"Adam Ludwik Czartoryski was married to Prince Maria , married on August 31 , 1901 in Warsaw .","Adam Adam Ludwik Czartoryski was married to Prince Maria , who married in Warsaw on 31 August 1901 .",1,"Si Adam Ludwik Czartoryski ay kasal kay Prinsipe Maria , ikinasal noong Agosto 31 , 1901 sa Warsaw .","Si Adam Adam Adam Ludwik Czartoryski ay kasal kay Prinsipe Maria , na nagpakasal sa Warsaw noong 31 Agosto 1901 ."
38621,"In 1955 , Johannes Herman Johannes married Annie Marie Gilbertine Amalo .",Annie Marie Gilbertine Amalo married Herman Johannes in 1955 .,1,"Noong 1955 , pinakasalan ni Johannes Herman Johannes si Annie Marie Gilbertine Amalo .",Si Annie Marie Gilbertine Amalo ay nagpakasal kay Herman Johannes noong 1955 .
4221,"C2c uses Class 357 and Class 387 units on the London , Tilbury and Southend Railway from Shoeburyness and Southend to London Fenchurch Street .","C2c uses Class 357 and Class 387 units on services down the London , Tilbury and Southend Railway line from Shoeburyness and Southend to London Fenchurch Street .",1,"Ang C2c ay gumagamit ng Class 357 at Class 387 yunit sa London , Tilbury at Southend Railway mula sa Shoeburyness at Southend hanggang London Fench Street .","Ang C2c ay gumagamit ng Class 357 at Class 387 yunit sa mga serbisyo pababa sa London , Tilbury at Southend Railway line mula sa Shoeburyness at Southend hanggang London Fenchurch Street ."
