text,summary
"Ang Defence Estates, na namamahala sa humigit-kumulang 2,400 ektarya para sa MoD, ay papalitan ng bagong Defence Infrastructure Organisation. Sinabi ng MoD na makakatipid ito ng £1.2 bilyon sa loob ng unang apat na taon. Tinawag ng unyon na Unite ang desisyon na ""lubos na kabaliwan,"" at hinikayat ang pamahalaan na baguhin ang isip nito. Inilatag sa strategic defence review noong nakaraang taon ang mga plano na tanggalin ang 25,000 trabaho ng sibilyan sa MoD. Sinabi ng departamento na makikipagkonsulta ito sa mga unyon ng manggagawa tungkol sa mga pagbabagong ito, na ayon sa kanila ay ""pagbubuklud sa mga nagtatrabaho sa mga gawain sa ari-arian at imprastruktura sa buong Kagawaran ng Tanggulang Pambansa"". Ayon sa kanila, pagbubuklurin nito ang 7,000 kawani – karamihan ay sibilyan – na nagtatrabaho sa konstruksyon, pagpapanatili, at pagtatanggal ng mga lupa at gusaling pag-aari ng MoD. Karamihan sa kanila ay kasalukuyang nagtatrabaho para sa Defence Estates, bagaman ang ilan ay nagtatrabaho sa mga trabahong imprastruktura sa RAF, Hukbong Katihan, at Royal Navy o sa mas maliliit na organisasyon. 'Nakapanlulumang balita,' ani Kalihim ng Depensa Liam Fox, na ang pagkakaroon ng isang organisasyon na mamamahala sa mga ari-arian ay magbibigay ng ""mas mahusay na estratehikong pamamahala"" at makakatipid ng pera sa mga gastusin sa pagpapatakbo. ""Sa pamamagitan ng mga pagbabagong ito, inaasahan naming makakatipid ng humigit-kumulang 2,500 na posisyon pagsapit ng 2014 at ng tinatayang £1.2 bilyon sa unang apat na taon lamang, nang hindi binabawasan ang bisa o pagiging maaasahan ng serbisyong aming ibinibigay. ""Ang hakbang na ito ay magbibigay ng makabuluhang kontribusyon sa pagbabawas ng mga sibilyang kawani at mga hakbang sa kahusayan na inilatag noong nakaraang Oktubre sa Strategic Defence and Security Review."" Sinabi niya na ito ang unang pagbabago na nagmula sa gawain ng defence reform unit na naglalayong baguhin ang estruktura ng MoD. Ani Unite national officer Kevin Coyne: ""Nakapanlumo ito para sa aming mga kasapi. Talagang kabaliwan ito, ginugol ng mga Tory ang dekada '80 sa pag-dedesentralisa ng MoD at ngayon ay pinagsasama-sama nila ito nang may kasigasihan na parang Stalinista. Sa 2,500 na mas kaunting kawani, ang pagpapanatili at pagpapatakbo ng mga ari-arian at lupa ng MoD ay mapapatakbo nang kulang sa pondo, na hindi makatarungan sa aming mga pwersa at kanilang mga pamilya. Hinimok namin ang pamahalaan na umatras sa desisyong ito.""","Mga 2,500 na trabaho sa Kagawaran ng Tanggulang Pambansa ang mawawala sa loob ng tatlong taon, habang binabago ng kagawaran ang paraan ng pamamahala nito sa mga lupain at gusali."
"Ni Danny Shaw, Tagapag-ulat sa Usaping Panloob. Inakusahan si Joseph McCann, 34, na nagdukot at nanggahasa ng tatlong babae sa hilagang London at Watford noong nakaraang linggo. Hindi siya—ngunit dapat sana ay—tinukoy sa Parole Board bago siya pinalaya mula sa bilangguan noong Pebrero, habang nasa kalagitnaan pa ng pagsilbi ng sentensiya para sa pagnanakaw. Sinabi ng Kagawaran ng Katarungan na isinasagawa na ang isang ""madaliang pagsusuri"" sa kaso. Si McCann ay nakulong noong 2008 dahil sa pinalubhang pagnanakaw sa bahay matapos aminin ang pagpasok sa tahanan ng isang 85-anyos na lalaki. Binigyan siya ng Indeterminate Sentence for Public Protection (IPP) na may pinakamababang termino, o tariff, na dalawang taon at kalahati. Ibig sabihin nito ay kailangang magpasya ang Parole Board kung ligtas siyang palayain nang mag-expire ang kanyang tariff noong 2010. Noong 2017, pinakawalan siya sa ilalim ng lisensya, na nangangahulugang maaari siyang ibalik sa bilangguan kung muling magkasala o labagin ang mga kondisyon ng kanyang parole. Mamaya noong taon ding iyon, habang nasa ilalim ng lisensya, inaresto si McCann at kinasuhan ng karagdagang pagnanakaw sa bahay. Binigyan siya ng tatlong taong sentensiya sa bilangguan. Dapat sana'y naisumite ang kaso ni McCann sa lupon bago siya palayain ngunit noong Pebrero ngayong taon ay itinuring siya bilang isang preso na may ""determinadong sentensya."" Nangangahulugan ito na awtomatiko siyang pinalaya makalipas ang 18 buwan ng kanyang sentensya. Nag-alok ang Metropolitan Police ng gantimpalang £20,000 para sa impormasyon tungkol sa kinaroroonan ni McCann na magreresulta sa kanyang pag-aresto at paglilitis. Inilarawan ng mga detektib si McCann bilang ""sobrang mapanganib"" at sinabi nilang dapat tumawag sa 999 ang mga tao kung makita siya. Inilalarawan siya bilang puti, may maskuladong pangangatawan, kalbo o may gupit na blondeng buhok, maikling balbas na mapusyaw ang kulay, at may tattoo na pangalang ""Bobbie"" sa kanyang tiyan. Mga Kaugnay na Link sa Internet The Met Hertfordshire Constabulary","Isang pinaghihinalaang tatlong beses na manghahalay na hinahanap ng pulisya ay maaaring aksidenteng pinalaya mula sa bilangguan, lumabas."
"Mahilig lumipad at sa mga aktibidad sa tubig. Naghahanap ng mas batang lalaki na may katulad na interes – dapat mahilig sa paglangoy, paglipad, at sa buhay sa labas. Nasa merkado para sa isang magandang kawan – huwag po magdala ng gunting pang-balahibo. Maaaring mukhang kakaiba itong personal na anunsyo, ngunit isang nag-iisang gansa sa Moira ang tila nasira ang puso matapos ang trahedyang pagkamatay ng kanyang kasama. Ngayon ay may panawagan na para makahanap ng bagong lalaki para sa kanya – o gander, upang maging eksakto. Si Barbara Mladek ang nagtatag ng Northern Ireland Battery Hen Rescue at sinusubukang makahanap ng isang ""mas nakatatandang"" gander. ""May kaibigan ako na nagkaroon ng magkaparehang gansa sa loob ng maraming taon. ""Sa kasamaang palad, namatay ang gander noong Huwebes ng gabi at ang 21-taong gulang na gansa ay labis na nalulungkot at namimiss ang kanyang kapareha,"" ani niya. Ipinaliwanag ni Ms. Mladek na ang mga gansa ay nagkakapareha habang buhay, ngunit kung mamatay ang isa, maaari silang magpares muli kung agad na may dumating na ibang gansa. ""Pag ipakilala mo na sila nang isa-isa, agad na pinoprotektahan ng gander ang goose, pinaghahatian nila ang isang timba ng tubig, at ginagawa nila ang ritwal ng paglubog ng ulo na nangangahulugang 'oo, akin ka na ngayon.' ""Maganda itong panoorin."" Itinatag niya ang Northern Ireland Battery Hen Rescue anim na taon na ang nakalipas at optimistiko siyang makakahanap ng kapareha para sa goose. ""Nakahanap na ako dati ng gander para sa isang taong naghahanap ng kapareha para sa kanyang gansa. Maraming tao sa Northern Ireland ang may kawan ng mga gansa; baka sobra ang dami ng kanilang mga gander, o baka nawalan ng kapareha ang isang matandang gander."" Kung mayroon kang gander na maaaring magkasya, maaari kang makipag-ugnayan kay Barbara sa pamamagitan ng pahina ng Facebook ng Northern Ireland Hen Rescue.",21-anyos na ibon naghahanap ng bagong lalaki para sa pakikipag-ugnayan at posibleng higit pa.
"Everton Nurseries malapit sa Lymington, Hampshire ay naglagay ng karatula na nananawagan sa mga mamimili na ""mangyaring mag-imbak"" ng mga metaldehyde pellets. Sinabi ng Friends of the Earth na ""irresponsable"" itong hikayatin ang paggamit ng kemikal na ipagbabawal dahil sa mga alalahanin tungkol sa epekto nito sa mga hayop sa kalikasan. Nag-apologize ang tindahan kalaunan, na nagsabing ito ay ""lubos na mali"". Noong nakaraang taon, inanunsyo ng pamahalaan na ipagbabawal simula Hunyo ang pagbebenta ng Metaldehyde, isang pestisidyo na ginagamit para kontrolin ang mga slug sa iba't ibang pananim at sa mga hardin. Sinabi ng Department of Environment, Food and Rural Affairs na nagdudulot ito ng ""hindi katanggap-tanggap na panganib sa mga ibon at mamalya"". Naglagay ang garden centre ng karatula sa tabi ng kanilang stock ng metaldehyde slug pellets na nagsasabing: ""Sa kasamaang palad, ang pinakaepektibong pumatay ng slug, ang metaldehyde, ay hindi na mabibili"", bago hikayatin ang mga customer na mag-imbak at gamitin ang produkto sa loob ng 12 buwang panahon kung kailan nananatiling legal ang paggamit nito. Nag-tweet ang New Forest Friends of the Earth ng larawan ng karatula na inilarawan nilang ""nakakainis"". Sinabi nito na ang kemikal ay ""nagiging dahilan ng pagkamatay sa buong food chain - halimbawa, mga hedgehog at ibon"". Nag-tweet naman ang Flower Power Lymo community allotment group sa Lymington: ""Pakiusap, tulungan ninyong PIGILAN ito. Mali ang paghikayat sa paggamit ng metaldehyde slug pellets. May dahilan kung bakit ito ipinagbabawal."" Sa isang pahayag, sinabi ni Simon Collyer, direktor ng Everton Nurseries, na ito ay isang ""maling pagtatangkang isulong ang benta"" ng isang junior na miyembro ng kawani. ""Sang-ayon kami na lubos na mali na isulong ang pagbebenta ng produktong malapit nang gawing ilegal. Lahat ng yunit ng produkto at kaugnay na karatula ay inalis na mula sa mga estante at hindi na ito ibebenta ng Everton Nurseries,"" dagdag pa niya.",Isang sentro ng hardin ang pinuna dahil sa pagsusulong ng mga slug pellet na malapit nang ipagbawal.
"Nagreklamo ang mga bisita tungkol sa isang oras na paghihintay sa labas ng Leicester Royal Infirmary na nagdulot ng hindi pagdalo sa mga appointment. Inamin ng mga opisyal na may malalaking problema tuwing oras ng rurok. Iginiit ng parehong ospital at ng konseho ng lungsod na pinag-aaralan nila ang mga solusyon kabilang ang mga bagong paradahan ngunit nananatiling suliranin ang pondo. Inamin ng mga opisyal na hindi kayang tugunan ng 400-lugar na paradahan sa Havelock Street ang dami ng sasakyan, lalo na't pansamantalang nagsara ang isang pribadong paradahan sa malapit. Sinabi ni Nigel Bond, pinuno ng mga pasilidad sa University Hospitals of Leicester NHS Trust, na ang lupa malapit sa istadyum ng Leicester Tigers ay may pahintulot sa pagpaplano para sa isang multi-palapag na paradahan. ""Interesado pa rin kami rito ngunit ang hamon ay ang pagpopondo at kailangang ito ay tamang kasunduan para sa lahat ng partido na kasangkot at matugunan ang pangangailangan ng lahat. ""Nakikipagkonsulta rin kami sa mga pribadong tagapagbigay ng paradahan at binubuo namin ang estratehiya sa pagtatayo para sa site ng royal infirmary at lubos naming nauunawaan ang pangangailangan para sa pampublikong paradahan sa lugar."" Inamin ni Patrick Kitterick, tagapangulo ng komite sa pagpaplano ng Leicester City Council, na hanggang hindi pa natatayo ang bagong paradahan, sila ay ""nag-aayos lamang sa mga maliit na bahagi"". ""Maraming salungatan kapag nagtagpo ang Jarrom Street at Havelock Street. Kaya iniisip naming magpatupad ng one-way system doon. Ngunit hindi nito malulutas ang malaking problema na ang paradahan ay labis na ginagamit sa mga tiyak na oras at napakahirap ang pagpasok at paglabas dito.""",Sinabi ng mga pinuno sa isang ospital sa Leicester na sila ay naghahanap ng mga solusyon sa mahahabang pila sa paradahan.
"Ang pinuno ng matinding kanang pakpak, na manunungkulan sa ika-1 ng Enero, ay pinagdudahan ang mga kwalipikasyon ng mga doktor. Inakusahan din niya ang komunistang pamahalaan ng Cuba na kinukuha ang 75% ng kanilang sahod at tumatangging payagan ang kanilang mga pamilya na sumama sa kanila. Ang pag-urong ay maaaring makagulo sa pangangalagang pangkalusugan para sa milyun-milyong mga Brazilian. Bakit napakaraming doktor na taga-Cuba sa Brazil? Ang pangangalagang pangkalusugan ang pinaka-kumikitang pag-export ng Cuba. Ang programang pantulong na ""More Doctors"" ay isinasagawa sa 67 bansa, at kumikita ang isla ng $11 bilyon bawat taon. Mga 8,000 na doktor na Cuban ang nagtatrabaho sa pinakamahirap at pinakamalalayong lugar ng Brazil sa ilalim ng programang ito. Sinabi ng Cuba na pauuwiin silang lahat bago matapos ang Disyembre. Gayunpaman, sinabi ng isang diplomatikong pinagmulan mula sa Brazil sa AFP na malamang na mananatili ang 2,000 dahil sa mga personal na ugnayan. Nagbabala ang mga alkalde ng Brazil na hanggang 30 milyong tao ang humaharap sa krisis sa pangangalaga - marami sa mga lugar kung saan ay tumatangging pumunta ang mga lokal na doktor. Ang unang 196 na doktor na umalis ay sinalubong na sa Havana ng pangalawang ministro ng kalusugan ng Cuba. Sinabi ng ahensiyang pangbalitang Cuban na ACN na ang mga medikal ay ""masaya na natupad ang kanilang misyon,"" ngunit ""nag-aalala sa naghihintay sa mga [Brazilian] na tao sa bagong halal na pangulo"". Sinabi ng ministeryo ng kalusugan ng Brazil noong Biyernes na sisimulan nitong pumili ng mga lokal na doktor upang palitan ang mga umalis na Cuban mamaya ngayong buwan.","Inaalis ng Cuba ang libu-libong doktor mula sa Brazil, matapos ang tinawag nitong ""mapanlait at nakakatakot"" na mga pahayag ni Jair Bolsonaro, ang halal na pangulo."
"Sinabi ng mga residente ng Moseley Green, malapit sa Parkend, na palagiang sinisira ng mga hayop ang gilid ng damuhan sa paghahanap ng pagkain. Inamin ng Forestry Commission na maaaring mas marami ang mga hayop kaysa sa ipinahiwatig ng isang kamakailang surbey. Nagsimula noong nakaraang buwan ang pagpatay ng komisyon bilang pagsisikap na panatilihin ang bilang sa 400 bilang bahagi ng tatlong taong plano sa pamamahala. Ayon sa mga lokal, hindi tumpak ang pagtataya na 535 ang populasyon ng mga baboy-ramo at mas marami pa kaysa sa target na 135 na hayop ang kailangang patayin para maabot ang bilang na iyon. Sinabi ni Martin Roach, may-ari ng pub na The Rising Sun, na gumastos siya ng libu-libong pounds para gawing ""kaakit-akit na lugar"" ang pub, ngunit nagdudulot ng pinsala ang mga ligaw na baboy-ramo. ""May pinsala sa buong daanan,"" ani niya. ""Mahilig tayong lahat sa kanayunan, mahilig tayong lahat sa gubat, mahilig tayong lahat sa baboy-ramo, pero nasa lugar nila. Sobra na ito. Sobrang dami na nila."" 'Mapanatiling populasyon' Sinabi ng residente na si Clive Skinner: ""Noong ilang buwan ang nakalipas, nagagawa kong ayusin araw-araw ang pinsala. Nasa yugto na kami ngayon na malaki, malaking trabaho ang kailangan para ayusin ang mga pinsala."" Mas maaga ngayong taon, sinabi ng Forestry Commission na napagkasunduan ang populasyong 400 na ligaw na baboy sa lugar. Sinabi nito na tinatayang 535 ang populasyon ng mga hayop, na nangangahulugang 135 ang kailangang patayin bago mag-Pebrero sa susunod. Sinabi ni Kevin Stannard mula sa komisyon: ""Minimum lang ang bilang na iyon. Naniniwala pa rin kami na may mahigit 700 o 800 na hayop sa gubat. ""Kung maibababa namin ang bilang na iyon sa 400, magiging magandang kompromiso iyon para sa mga grupong pro-kapakanan ng hayop upang makita na mayroon kaming matatag at mabubuhay na populasyon. ""Ngunit para rin sa mga bumibisita at gumagamit ng gubat, upang ipakita na pinamamahalaan namin ang populasyon at pinananatili itong kontrolado sa antas na katanggap-tanggap sa lahat.""",Ang mga naninirahan sa isang nayon sa Gubat ng Dean ay nagsabing hindi sapat ang bilang ng mga ligaw na baboy na pinapatay.
"Si Sergio Cabral ay nagsilbi ng dalawang termino bilang gobernador ng estado ng Rio mula 2007 hanggang 2014. Inakusahan siyang tumanggap ng suhol mula sa mga kumpanyang pang-konstruksyon kapalit ng pagbibigay sa kanila ng mga kumikitang kontrata, tulad ng isang planta ng petrochemikal sa Rio. Sinabi ni Hukom Sergio Moro na hindi sapat ang ebidensya para hatulan ang asawa ni Cabral na si Adriana Ancelmo. Naaresto si Cabral noong Nobyembre bilang bahagi ng Operation Car Wash, isang malawakang imbestigasyon sa korapsyon na nagbunga ng pag-aresto sa mahabang listahan ng mga mataas na ranggong pulitiko at makapangyarihang negosyante sa Brazil. Kasapi si Cabral ng Brazilian Democratic Movement Party ni Pangulong Michel Temer, na iniimbestigahan din dahil sa diumano'y korapsyon. Sinabi ni Hukom Moro na kumuha ang dating gobernador ng 2.7 milyong reais ($813,000; £638,000) na suhol. Sinabi ng hukom na hindi pa natatagpuan ang pera at pinaghihinalaan niyang inilipat ito ni Cabral bago na-block ang kanyang mga account. Ang dating ministro ng panloob na usapin ng estado ng Rio, si Wilson Carlos Carvalho, ay napatunayang nagkasala rin sa korapsyon at hinatulan ng 10 taong pagkakakulong. Siya ang kanang-kamay ni Cabral habang nasa posisyon.",Ang dating gobernador ng estado ng Rio de Janeiro sa Brazil ay hinatulan ng 14 na taon at dalawang buwan na pagkakakulong dahil sa korapsyon at paglilinis ng pera.
"Ni John Campbell, BBC News NI Economics & Business Editor   Sinusukat ng datos ang porsyento ng mga nasa edad na magtrabaho na may trabaho. Sa panahon mula Marso hanggang Mayo 2019, tumaas ang antas ng 1.7 porsyentong puntos kumpara sa parehong panahon noong 2018. Sa panahon ng resesyon, umabot sa 64% ang pinakamababang antas ng empleyo. Sa kabila ng pinakahuling pagtaas, mas mababa pa rin ang antas ng empleyo sa Hilagang Irlanda kumpara sa karaniwang antas ng UK na 76%. Ang kawalang-aktibidad sa ekonomiya sa Hilagang Irlanda ay bumaba rin sa loob ng tatlong buwan at sa buong taon hanggang sa isa sa pinakamababang antas na naitala - 25.9%. Ito ay pagsukat sa mga taong walang trabaho at hindi naghahanap ng trabaho - kabilang dito ang mga estudyante, retirado, at mga may sakit o kapansanan. Sinabi ng Northern Ireland Statistics and Research Agency (Nisra) na ang pagbaba ng antas ng kawalan ng aktibidad mula noong 2017 ay nagpapahiwatig na ang ilang tao ay muling pumapasok sa pamilihan ng paggawa. ""Ang pagbaba ng kawalan ng aktibidad sa ekonomiya mula pa noong huling bahagi ng 2017 ay nagpapahiwatig na ang mga pagbabago sa katayuan sa pamilihan ng paggawa ay hindi limitado sa mga nagtatrabaho o naghahanap ng trabaho, kundi pati na rin sa mga dati ay wala sa lakas-paggawa,"" ayon sa pahayag nito. Samantala, tumaas sa 3.6% ang paglago ng sahod sa UK sa taong hanggang Mayo 2019, ang pinakamataas na antas ng paglago mula pa noong 2008, ayon sa datos ng Office for National Statistics. Gayunpaman, kapag iniaangkop sa implasyon, nanatiling pareho ang sahod kumpara sa nakaraang buwan. Walang partikular na buwanang datos tungkol sa sahod para sa Hilagang Irlanda.",Ang antas ng empleyo sa Hilagang Irlanda ay tumaas sa rekord na 71.7%.
"Sinabi ng Wiltshire Police na tinawagan sila sa Crapper and Sons Landfill Ltd malapit sa Royal Wootton Bassett bandang 02:00 GMT noong Huwebes. Namatay sa lugar ng insidente ang lalaki, nasa kanyang 60s at taga-Chippenham. Hindi nasaktan ang ikalawang empleyado. Sinabi ng pamilyang nagpapatakbo ng kumpanya na labis ang kalungkutan ng mga kawani sa nangyari. Iniimbestigahan ng pulisya at ng Health and Safety Executive ang insidente. Sinabi ng Crapper and Sons na agad na inaktiba ng mga kawani ang mga protocol ng emerhensiya nang mangyari ang insidente, at makikipagtulungan sila sa ""lahat ng may-katuturang awtoridad"" upang imbestigahan ang nangyari. Sinabi ni Managing Director Richard Crapper: ""Ito ay isang napakalungkot na araw at ang lahat ng aking pag-iisip ay kasama ang pamilya."" Mga Kaugnay na Link sa Internet Wiltshire Police",Isang empleyado ang namatay sa isang insidente sa isang tapunan ng basura.
