text,summary
"Ang Defence Estates, na nagpapatakbo ng humigit-kumulang 2,400 ektarya para sa MoD, ay papalitan ng bagong Defence Infrastructure Organisation. Sinabi ng MoD na ang mga pagbabago ay makakatipid ng £1.2 bilyon sa unang apat na taon. Sinabi ng Unite union na ang desisyon ay ""ganap na kabaliwan,"" at hinimok ang gobyerno na baguhin ang isip nito. Ang mga plano na tanggalin ang 25,000 sibilyang trabaho sa MoD ay nakabalangkas sa pagsusuri ng estratehikong depensa noong nakaraang taon. Sinabi ng departamento na kokonsulta ito sa mga unyon ng manggagawa tungkol sa mga pagbabago, na sinasabi nitong ""pagsasama-samahin ang mga nagtatrabaho sa mga aktibidad sa estate at imprastraktura sa buong Ministry of Defence"". Sinasabi nito na pagsasama-samahin nito ang 7,000 kawani - karamihan ay mga sibilyan - na nagtatrabaho sa konstruksyon, pagpapanatili at pagtatapon ng lupa at mga gusaling pagmamay-ari ng MoD. Karamihan sa kanila ay kasalukuyang nagtatrabaho para sa Defence Estates, bagaman ang ilan ay nagtatrabaho sa mga trabaho sa imprastraktura sa RAF, Army at Royal Navy o mas maliliit na organisasyon. 'Nakakapanghinang balita' Sinabi ni Defense Secretary Liam Fox na ang pagkakaroon ng isang organisasyon na nagpapatakbo ng estate ay magbibigay ng ""mas mahusay na estratehikong pamamahala"" at makakatipid ng pera sa mga gastos sa pagpapatakbo. ""Sa pamamagitan ng paggawa ng mga pagbabagong ito, inaasahan naming makakapagtipid ng humigit-kumulang 2,500 na posisyon pagsapit ng 2014 at humigit-kumulang £1.2 bilyon sa unang apat na taon lamang, nang hindi binabawasan ang bisa o pagiging maaasahan ng serbisyong aming ibinibigay. ""Ang hakbang na ito ay magkakaroon ng malaking kontribusyon sa pagbabawas ng mga sibilyang kawani at mga hakbang sa kahusayan na itinakda noong nakaraang Oktubre sa Strategic Defence and Security Review."" Aniya, ito ang unang pagbabagong nagmula sa trabaho ng yunit ng reporma sa depensa na naglalayong baguhin ang istruktura ng MoD. Sinabi ng opisyal ng Unite national na si Kevin Coyne: ""Nakakasira ito para sa aming mga miyembro. Ito ay isang ganap na kabaliwan, ginugol ng mga Tory ang dekada 80 sa pagdesentralisa ng MoD at ngayon ay isinasentralisa nila ito nang may sigasig na Stalinista. ""Dahil sa 2,500 na mas kaunting kawani, ang pagpapanatili at pagpapatakbo ng mga ari-arian at lupain ng MoD ay patatakbuhin nang napakaliit na bagay na magdudulot ng kawalang-kahusayan sa aming mga puwersa at kanilang mga pamilya. Hinihimok namin ang gobyerno na umatras mula sa desisyong ito.""","Humigit-kumulang 2,500 trabaho sa Ministry of Defence ang matatanggal sa loob ng tatlong taon, habang binabago ng departamento ang paraan ng pamamahala nito sa lupa at mga gusali."
"Ni Danny ShawSi Joseph McCann, 34, ay umano'y dumukot at gumahasa sa tatlong babae sa hilagang London at Watford noong nakaraang linggo. Hindi siya - ngunit dapat sana'y - ipinadala sa Parole Board bago siya pinalaya mula sa bilangguan noong Pebrero, habang nasa kalagitnaan ng kanyang sentensya para sa pagnanakaw. Sinabi ng Ministry of Justice na isang ""urgent review"" ang isinasagawa sa kaso. Si McCann ay nakulong noong 2008 dahil sa aggravated burglary matapos amining pumasok sa bahay ng isang 85-taong-gulang na lalaki. Binigyan siya ng Indeterminate Sentence for Public Protection (IPP) na may minimum na termino, o taripa, na dalawa at kalahating taon. Nangangahulugan ito na kinailangang magpasya ang Parole Board kung ligtas na siyang palayain kapag natapos na ang kanyang taripa noong 2010. Noong 2017, pinalaya siya nang may lisensya, na nangangahulugang maaari siyang ibalik sa kulungan kung uulitin niya ang pagkakasala o lalabagin ang kanyang mga kondisyon sa parol. Kalaunan nang taong iyon, habang may lisensya, si McCann ay inaresto at kinasuhan ng isa pang pagnanakaw. Binigyan siya ng tatlong-taong sentensya sa kulungan. Dapat sana'y naipadala na sana sa lupon ang kaso ni McCann bago siya pinalaya ngunit noong Pebrero ng taong ito, itinuring siyang isang bilanggo na may ""determinate sentence"". Nangangahulugan ito na awtomatiko siyang pinalaya pagkalipas ng 18 buwan mula sa kanyang sentensya. Isang pabuya na £20,000 ang inialok ng Metropolitan Police para sa impormasyon tungkol sa kinaroroonan ni McCann na hahantong sa kanyang pag-aresto at pag-uusig. Inilarawan ng mga detektib si McCann bilang ""lubhang mapanganib"" at sinabing dapat tumawag sa 999 ang mga tao kung makita nila siya. Inilarawan siya bilang maputi, may maskuladong pangangatawan, kalbo ang ulo o ahit na blond na buhok, mapusyaw na maikling balbas, at may tattoo na pangalang ""Bobbie"" sa kanyang tiyan. Mga Kaugnay na Link sa Internet Ang Met Hertfordshire Constabulary",Lumitaw na maaaring nagkamaling pinalaya mula sa bilangguan ang isang pinaghihinalaang rapist na may tatlong kaso na tinutugis ng mga pulis.
"Mahilig sa paglipad at mga aktibidad sa tubig. Naghahanap ng mas batang lalaki na may parehong interes - dapat masiyahan sa paglangoy, paglipad, at buhay sa labas. Naghahanap ng isang mahusay na grupo - huwag mag-pruner ng balahibo. Maaaring mukhang isang kakaibang personal na patalastas ito, ngunit isang nag-iisang gansa sa Moira ang tila nasasaktan matapos ang kanyang kasama na malungkot na namatay. Ngayon ay isang apela ang ginawa upang maghanap para sa kanya ng isang bagong lalaki - o gander para maging tumpak. Si Barbara Mladek ay ang nagtatag ng Northern Ireland Battery Hen Rescue at sinusubukang makahanap ng isang ""mas mature"" na gander. ""Ang isang kaibigan ko ay nagkaroon ng isang pares ng gansa sa loob ng mahabang panahon. ""Sa kasamaang palad, namatay ang gander noong Huwebes ng gabi at ang 21-taong-gulang na gansa ay talagang nababalisa sa pananabik para sa kanyang kapareha,"" aniya. Ipinaliwanag ni Ms. Mladek na ang mga gansa ay nag-aasawa habang buhay, ngunit kung ang isa ay mamatay, maaari silang magtugma muli kung may isa pang gansa na dumating nang mabilis. ""Sa sandaling ipakilala mo sila nang isa-isa, agad na pinoprotektahan ng gander ang gansa, nagsasalo sila sa isang balde ng tubig, at gumagawa ng ritwal ng paglulubog ng ulo na nagsasabing 'oo, akin ka na ngayon.'"" ""Napakagandang panoorin."" Itinatag niya ang Northern Ireland Battery Hen Rescue anim na taon na ang nakalilipas at umaasa siyang makakahanap siya ng kapareha para sa gansa. ""Nakahanap na ako ng gansa dati para sa isang taong naghahanap ng kapareha para sa kanyang gansa. ""Maraming tao sa Northern Ireland ang may kawan ng mga gansa; marahil ay napakarami nilang gansa, o marahil ay nawalan ng kapareha ang isang matandang gansa."" Kung mayroon kang gansa na maaaring akma sa iyo, maaari kang makipag-ugnayan kay Barbara sa pamamagitan ng pahina sa Facebook ng Northern Ireland Hen Rescue.",Ang 21-taong-gulang na ibon ay naghahanap ng bagong lalaki para sa kasama at posibleng higit pa.
"Nagpakita ang Everton Nurseries malapit sa Lymington, Hampshire ng isang karatula na humihimok sa mga customer na ""mangyaring mag-stock"" ng mga metaldehyde pellet. Sinabi ng Friends of the Earth na ""iresponsable"" ang paghihikayat sa paggamit ng kemikal na ipagbabawal dahil sa mga pangamba tungkol sa mga epekto nito sa mga hayop. Kalaunan ay humingi ng paumanhin ang tindahan, na nagsasabing ito ay ""lubos na mali"". Noong nakaraang taon, inanunsyo ng gobyerno na ang pagbebenta ng Metaldehyde, isang pestisidyo na ginagamit upang kontrolin ang mga slug sa iba't ibang pananim at sa mga hardin, ay ipagbabawal sa Hunyo. Sinabi ng Department of Environment, Food and Rural Affairs na ito ay nagdudulot ng ""hindi katanggap-tanggap na panganib sa mga ibon at mammal"". Naglagay ang garden center ng isang karatula sa tabi ng stock nito ng mga metaldehyde slug pellet na nagsasabing: ""Nakalulungkot, ang pinakamabisang pamatay ng slug, ang metaldehyde, ay hindi na mabibili"", bago hinikayat ang mga customer na mag-stock at gamitin ang produkto sa loob ng 12 buwan kung kailan nananatiling legal ang paggamit nito. Nag-tweet ang New Forest Friends of the Earth ng larawan ng karatula na inilarawan nito bilang ""nakakapangilabot"". Sinabi nito na ang kemikal ay ""responsable sa mga pagkamatay sa food chain - halimbawa, mga hedgehog at ibon"". Nag-tweet ang Flower Power Lymo community allotment group sa Lymington: ""Tulungan po ninyo akong PIGILIN ito. Mali ang paghihikayat sa paggamit ng metaldehyde slug pellets. May dahilan kung bakit ipinagbabawal ang mga ito."" Sa isang pahayag, sinabi ng direktor ng Everton Nurseries na si Simon Collyer na ito ay isang ""hindi inaasahang pagtatangka na isulong ang mga benta"" ng isang nakababatang miyembro ng staff. ""Sumasang-ayon kami na lubos na mali ang pagsulong ng pagbebenta ng produkto sa lalong madaling panahon para maging ilegal. ""Lahat ng unit ng produkto at mga kaugnay na signage ay inalis na sa mga istante at hindi na ito ibebenta ng Everton Nurseries,"" dagdag niya.",Isang garden center ang binatikos dahil sa pagtataguyod ng mga slug pellet na malapit nang ipagbawal.
"Nagreklamo ang mga bisita tungkol sa isang oras na paghihintay sa labas ng Leicester Royal Infirmary na humahantong sa mga hindi naabutang appointment. Inamin ng mga opisyal na may mga seryosong problema sa mga oras ng peak hours. Iginiit ng ospital at konseho ng lungsod na naghahanap sila ng mga solusyon kabilang ang mga bagong paradahan ng kotse ngunit nananatili pa rin ang mga isyu sa pondo. Inamin ng mga opisyal na ang 400-space na paradahan ng kotse sa Havelock Street ay hindi kayang tugunan ang demand, lalo na't pansamantalang nagsara ang isang kalapit na pribadong paradahan ng kotse. Sinabi ni Nigel Bond, pinuno ng mga pasilidad sa University Hospitals of Leicester NHS Trust, na ang lupa malapit sa istadyum ng Leicester Tigers ay may permiso sa pagpaplano para sa isang multi-storey na paradahan ng kotse. ""Interesado pa rin kami diyan ngunit ang hamon diyan ay ang financing at dapat itong maging tamang kasunduan para sa lahat ng partido na kasangkot at dapat nitong matugunan ang mga pangangailangan ng lahat. ""Kumokonsulta rin kami sa mga pribadong tagapagbigay ng paradahan ng kotse at binubuo namin ang estratehiya sa pagtatayo para sa lugar ng royal infirmary at lubos naming nalalaman ang pangangailangan para sa pampublikong paradahan sa lugar."" Inamin ni Patrick Kitterick, chairman ng planning committee sa Leicester City Council, na hanggang sa maitayo ang isang bagong paradahan ng kotse, sila ay ""nag-iisip ng mga paraan"". ""Maraming tunggalian kapag nagtatagpo ang Jarrom Street at Havelock Street. Kaya tinitingnan namin ang paggamit ng one-way system doon. ""Ngunit hindi nito malulutas ang malaking problema na ang paradahan ng kotse ay madalas gamitin sa mga partikular na oras at ang daanan at labasan dito ay napakahirap.""",Sinabi ng mga hepe sa isang ospital sa Leicester na naghahanap sila ng mga solusyon sa mahahabang pila sa paradahan.
"Kinuwestiyon ng dulong-kanan na pinuno, na uupo sa pwesto sa Enero 1, ang mga kwalipikasyon ng mga doktor. Inakusahan din niya ang komunistang gobyerno ng Cuba na pinapanatili ang 75% ng kanilang suweldo, at tinatanggihan ang kanilang mga pamilya na sumama sa kanila. Ang pag-alis ay maaaring makagambala sa pangangalagang pangkalusugan para sa milyun-milyong Brazilian. Bakit napakaraming doktor ng Cuba sa Brazil? Ang pangangalagang pangkalusugan ang pinakamakukuhang export ng Cuba. Ang programang tulong na ""More Doctors"" ay tumatakbo sa 67 na bansa, at kumikita ang isla ng $11 bilyon bawat taon. Humigit-kumulang 8,000 doktor ng Cuba ang nagtatrabaho sa pinakamahihirap at pinakamalayong lugar ng Brazil sa ilalim ng programa. Sinabi ng Cuba na lahat sila ay ipapatawag pauwi sa katapusan ng Disyembre. Gayunpaman, sinabi ng isang diplomatikong mapagkukunan ng Brazil sa AFP na 2,000 ang malamang na mananatili sa kanilang lugar dahil sa mga personal na ugnayan. Nagbabala ang mga alkalde ng Brazil na hanggang 30 milyong tao ang nahaharap sa krisis sa pangangalaga - marami sa mga lugar kung saan tumatangging umalis ang mga lokal na doktor. Ang unang 196 na doktor na umalis ay sinalubong na sa Havana ng deputy health minister ng Cuba. Sinabi ng Cuban news agency na ACN na ang mga mediko ay ""masaya na natupad ang kanilang misyon,"" ngunit ""nag-aalala tungkol sa kung ano ang naghihintay sa mga [Brazil] na mamamayan kasama ang bagong halal na pangulo"". Sinabi ng ministeryo ng kalusugan ng Brazil noong Biyernes na magsisimula na itong pumili ng mga lokal na doktor upang palitan ang mga paalis na Cuban sa huling bahagi ng buwang ito.","Libu-libong doktor ang pinaalis ng Cuba sa Brazil, matapos ang tinawag nitong ""mapanghamak at nagbabantang"" mga pahayag ni president-elect Jair Bolsonaro."
"Sinasabi ng mga residente ng Moseley Green, malapit sa Parkend, na regular na sinisira ng mga hayop ang mga gilid ng damuhan sa pamamagitan ng paghahanap ng pagkain. Kinilala ng Forestry Commission na maaaring mas marami pa ang mga hayop kaysa sa iminungkahi ng isang kamakailang survey. Nagsimula ang pagpatay ng komisyon noong nakaraang buwan sa pagtatangkang panatilihin ang bilang sa 400 bilang bahagi ng tatlong-taong plano sa pamamahala. Inaangkin ng mga lokal na ang mga pagtatantya na 535 para sa populasyon ng baboy-ramo ay hindi tumpak at higit pa sa target na 135 na hayop ang kailangang patayin upang maabot ang bilang na iyon. Sinabi ni Martin Roach, may-ari ng The Rising Sun pub, na gumastos siya ng libu-libong libra upang gawing ""kaakit-akit na lugar"" ang pub ngunit ang mga baboy-ramo ay nagdudulot ng pinsala. ""Mayroon akong pinsala sa buong driveway,"" aniya. ""Lahat tayo ay gusto ang kanayunan, lahat tayo ay gusto ang kagubatan, lahat tayo ay gusto ang baboy-ramo, ngunit nasa lugar nila ito. ""Sobra na ito. Masyado na tayong marami sa kanila."" 'Mabubuhay na populasyon' Sinabi ng residente na si Clive Skinner: ""Ilang buwan na ang nakalilipas ay nagawa kong ayusin ang pinsala araw-araw."" ""Nasa yugto na tayo ngayon na kailangan nang ayusin ang mga ito."" Mas maaga sa taong ito, sinabi ng Forestry Commission na napagkasunduan na ang nabubuhay na populasyon ng 400 baboy-ramo sa lugar. Sinabi nito na tinatayang nasa 535 na hayop ang populasyon, ibig sabihin ay 135 ang kailangang patayin bago ang susunod na Pebrero. Sinabi ni Kevin Stannard mula sa komisyon: ""Minimum lang ang bilang na iyan. Sa tingin pa rin namin ay mahigit 700 o 800 na hayop ang nasa kagubatan. ""Kung maibabalik natin ang antas na iyan sa 400, dapat itong maging isang magandang kompromiso para sa mga grupong nangangalaga sa kapakanan ng hayop upang makita na mayroon tayong maayos at mabubuhay na populasyon. ""Ngunit para rin sa mga bumibisita at gumagamit ng kagubatan upang ipakita na pinamamahalaan natin ang populasyon at pinapanatili itong kontrolado sa isang antas na kayang tiisin ng lahat.""",Sinasabi ng mga taong naninirahan sa isang nayon sa Forest of Dean na hindi sapat ang mga baboy-ramo na pinapatay.
"Naglingkod si Sergio Cabral bilang gobernador ng estado ng Rio sa loob ng dalawang termino mula 2007 hanggang 2014. Inakusahan siya ng pagtanggap ng mga kickback mula sa mga kompanya ng konstruksyon kapalit ng pagbibigay sa kanila ng mga kapaki-pakinabang na kontrata, tulad ng isang planta ng petrochemical sa Rio. Sinabi ni Hukom Sergio Moro na walang sapat na ebidensya upang mahatulan ang asawa ni Cabral na si Adriana Ancelmo. Si Cabral ay dinakip noong Nobyembre bilang bahagi ng Operation Car Wash, isang malaking imbestigasyon sa korapsyon na nagresulta sa pag-aresto sa mahabang listahan ng mga matataas na ranggong pulitiko at maimpluwensyang negosyante sa Brazil. Si Cabral ay miyembro ng Brazilian Democratic Movement Party ni Pangulong Michel Temer, na iniimbestigahan din dahil sa umano'y korapsyon. Sinabi ni Hukom Moro na ang dating gobernador ay kumuha ng 2.7 milyong reais ($813,000; £638,000) na suhol. Sinabi ng hukom na ang pera ay hindi pa natatagpuan at pinaghihinalaan niya na inilipat ito ni Cabral bago na-block ang kanyang mga account. Ang dating ministro ng interior para sa estado ng Rio, si Wilson Carlos Carvalho, ay napatunayang nagkasala rin ng korapsyon at sinentensiyahan ng 10 taon sa bilangguan. Siya ang kanang kamay ni Cabral habang ito ay nasa pwesto.",Ang dating gobernador ng estado ng Rio de Janeiro sa Brazil ay sinentensiyahan ng 14 na taon at dalawang buwang pagkakabilanggo dahil sa korapsyon at money laundering.
"Ni John CampbellBBC News NI Economics & Business EditorSinusukat ng datos ang porsyento ng mga nasa hustong gulang na nagtatrabaho na may trabaho. Sa panahon mula Marso hanggang Mayo 2019, ang rate ay tumaas ng 1.7 porsyento kumpara sa parehong panahon noong 2018. Sa panahon ng resesyon, ang rate ng trabaho ay umabot sa pinakamababang 64%. Sa kabila ng pinakabagong pagtaas, ang rate ng trabaho sa Northern Ireland ay mas mababa pa rin sa average na rate ng UK na 76%. Ang kawalan ng aktibidad sa ekonomiya sa Northern Ireland ay bumaba rin sa quarter at taon sa isa sa pinakamababang rate na naitala - 25.9%. Ito ay isang pagsukat ng mga taong wala sa trabaho at hindi naghahanap ng trabaho - kabilang ang mga estudyante, retirado at may sakit o may kapansanan. Sinabi ng Northern Ireland Statistics and Research Agency (Nisra) na ang pagbaba ng rate ng kawalan ng aktibidad mula noong 2017 ay nagmumungkahi na ang ilang mga tao ay muling pumapasok sa merkado ng paggawa. ""Ang pagbaba sa kawalan ng aktibidad sa ekonomiya mula noong huling bahagi ng 2017 ay nagpapahiwatig na ang mga pagbabago sa katayuan ng merkado ng paggawa ay hindi limitado sa mga nagtatrabaho o naghahanap ng trabaho, kundi pati na rin sa mga dating nasa labas ng lakas-paggawa,"" ayon sa pahayag nito. Samantala, ang paglago ng sahod sa UK ay tumaas sa 3.6% noong Mayo 2019, ang pinakamataas na antas ng paglago mula noong 2008, ayon sa mga datos ng Office for National Statistics. Gayunpaman, kung isasaayos para sa implasyon, nanatiling matatag ang mga sahod kumpara noong nakaraang buwan. Walang tiyak na buwanang datos sa mga sahod para sa Northern Ireland.",Ang antas ng trabaho sa Northern Ireland ay tumaas sa pinakamataas na rekord na 71.7%.
"Sinabi ng Wiltshire Police na tinawagan sila sa Crapper and Sons Landfill Ltd malapit sa Royal Wootton Bassett bandang 02:00 GMT noong Huwebes. Ang lalaki, na nasa edad 60 mula sa Chippenham, ay namatay sa pinangyarihan. Ang pangalawang empleyado ay hindi nasaktan. Sinabi ng kumpanyang pinamamahalaan ng pamilya na mayroong ""matinding kalungkutan"" sa mga kawani dahil sa nangyari. Iniimbestigahan na ng pulisya at ng Health and Safety Executive. Sinabi ng Crapper and Sons na in-activate ng mga kawani ang mga emergency protocol sa sandaling mangyari ang insidente, at makikipagtulungan sa ""lahat ng kinauukulang awtoridad"" upang imbestigahan ang nangyari. Sinabi ng managing director na si Richard Crapper: ""Napakalungkot ng araw na ito at ang lahat ng aking iniisip ay nasa pamilya."" Mga Kaugnay na Link sa Internet Wiltshire Police",Isang empleyado ang namatay sa isang insidente sa isang tambakan ng basura.
