id,sentence1,sentence2,label
29568,"Ang estero ng Batten Kill ay nasa East Dorset, Vermont, at ang pinagmumulan ng ilog ay nasa Easton, New York.","Ang bibig ng Batten Kill ay nasa East Dorset, Vermont, at ang pinagmumulan ng ilog ay nasa Easton, New York.",1
45829,"Ang La tempestad ( Internasyonal na pagsasalin : Ang Bagyo , na tinawag na The Storm ng Univision ) ay isang 2013 Mexican telenovela na ginawa ni Salvador Mejía Alejandre para sa Televisa.","Ang La Tempestad ( Internasyonal na Pagsasalin : Ang Bagyo , tinawag ng Univision na Bagyo ) ay isang telenovela sa Mexico noong 2013 na ginawa ni Salvador Mejía Alejandre para sa Televisa.",1
46990,"Mula noong 2006, nang ilagay ni Josephine Alhanko ang kanyang sarili sa Top 20, si Cerljen ang unang delegado mula sa Sweden sa international final.",Si Cerljen din ang unang delegado mula sa Sweden sa international final mula noong 2006 nang si Josephine Alhanko ay nakapasok sa Top 20 .,1
13893,"Pinakasalan niya si Lady Florence Jane Taylour, anak na babae ni Amelia Thompson, 3rd Marquess ng Headfort at Thomas Taylor, noong 5 Agosto 1875.","Pinakasalan niya si Lady Florence Jane Taylour, ang anak na babae ni Amelia Thompson, 3rd Marquess ng Headfort at Thomas Taylour, noong 5 Agosto 1875.",1
41986,Ang Elati ay isang nayon sa Kozani Regional Unit sa Greece.,"Ang Elati ay isang nayon sa yunit ng rehiyon ng Kozani, Gresya.",1
1690,Nagkaroon siya ng apat na kapatid: kambal na sina Hope Gimbel at Caral Gimbel at ang kambal na sina Peter Gimbel at David Gimbel.,Nagkaroon siya ng apat na kapatid: kambal na sina Peter Gimbel at David Gimbel; at kambal na sina Hope Gimbel at Caral Gimbel .,1
3098,"Bilang karagdagan, ang mga ito ay pisikal na aktibo, malayang matuto at sabik na galugarin.","Bilang karagdagan, ang mga ito ay aktibong pisikal na aktibo, malayang matuto at sabik na galugarin.",1
26108,"Si Solomons ay ipinanganak sa Orsett, Essex at pinalaki kasama ang kanyang apat na kapatid sa Thorpe Bay ng kanyang ina at ama.","Si Solomons ay ipinanganak sa Orsett, Essex at kasama ang kanyang apat na kapatid sa Thorpe Bay na pinalaki ng kanyang ina at kanyang ama.",1
26641,"Sa kabila ng mabilis na kalungkutan, siya ay kilala para sa kanyang espirituwal na pag-unawa at disiplina.","Siya ay kilala para sa kanyang espirituwal na pag-unawa at disiplina, anuman ang mabilis na pagdurusa.",1
23768,"Sumunod ang iba pang imbitasyon at marami pang kapatid na babae ang dumating para sa isang ospital sa Iloilo , mga paaralan sa Vigan , Tuguegarao at Maynila at isang ketong sa Culion .","Sumunod ang iba pang mga imbitasyon at marami pang mga Sister ang dumating para sa isang ospital sa Iloilo , mga paaralan sa Vigan , Tuguegarao , at Maynila , at isang Leprosarium sa Culion .",1
39715,"Sa 1975 isang grupo ng limang mga batang photographers (kabilang ang Bronson Fellow Christopher Rauschenberg, anak ni Robert Rauschenberg) pinagsama ang kanilang mga mapagkukunan upang simulan ang isang maliit na gallery.","Sa 1975, isang grupo ng limang mga batang photographers (kabilang ang Bronson Fellow Christopher Rauschenberg, anak ni Robert Rauschenberg) nakolekta ang kanilang mga mapagkukunan upang simulan ang isang maliit na gallery.",1
23,"Sa matematikal na astronomiya, ang kanyang katanyagan ay dahil sa pagpapakilala ng astronomical globo, at ang kanyang maagang kontribusyon sa pag-unawa sa paggalaw ng mga planeta.",Ang kanyang katanyagan ay dahil sa matematika astronomy sa pagpapakilala ng astronomical globo at sa kanyang maagang kontribusyon sa pag-unawa ng paggalaw ng mga planeta.,1
24797,"Mula 1898 hanggang 1902, humigit-kumulang 1,300 mga ibon ang na-import mula sa Amerika at pinakawalan mula sa Southland hanggang Northland sa maraming bahagi ng North at South Islands.","Mula 1898 hanggang 1902, ang ilang mga 1300 ibon ay na-import mula sa Amerika at pinakawalan sa maraming bahagi ng North at South Islands, mula sa Southland hanggang Northland.",1
34886,"Ang limang nahalal na kandidato ay ang Bahrain, Brazil, Gabon, Gambia at Slovenia.","Ang limang kandidato na inihalal ay ang Bahrain, Brazil, Gabon, Gambia, at Slovenia.",1
4410,Ang susunod na dalawang function ay analogous sa nabanggit na dalawang function at ay ginagamit para sa base clusters.,Ang susunod na dalawang pag-andar ay katulad ng dalawa sa itaas at ginagamit para sa mga kumpol ng base.,1
9941,Ang Squadron RAF ay isang yunit ng Royal Air Force sa Ehipto noong Ikalawang Digmaang Pandaigdig at pagkatapos ay sa Italya at Hilagang Aprika.,Ang 651 Squadron RAF ay isang yunit ng Royal Air Force sa Ehipto noong Ikalawang Digmaang Pandaigdig at pagkatapos ay sa Italya at Hilagang Aprika.,1
4704,Ang pelikulang TV noong 1983 na '' Sam Elliott : The Empty Copper Sea '' ay pinagbibidahan ni Travis McGee .,Ang pelikula sa TV 1983 '' Sam Elliott : The Empty Copper Sea '' ay gumanap bilang Travis McGee .,1
