Unnamed: 0,gold_label,sentence1,sentence2
0,neutral,"Maaari mo ring samantalahin ang aming pantanging 2-year na pag-aalok ng pagiging miyembro sa $30, isang ipon ng halos 60% sa aming regular na 2 taon.",Ito'y nagkakahalaga lamang ng $30 kung sasama ka sa susunod na dalawang araw.
1,neutral,"Samakatuwid, sila'y patuloy na lumilikha ng isang daigdig na walang kinalaman sa mga bagay - bagay kung saan ang nakalipas lamang ay may mabisang impormasyon.",Ang guniguning mga daigdig na ito ay ginagamit upang hulaan ang mga huwaran ng lagay ng panahon.
2,neutral,"Sa paano man, kaya ako'y nakatapos ng pag - uwi ng bahay sa ganap na 6:30 ngayon at iyan ang araw ko.",Ginugol ko ang kalakhang bahagi ng araw sa pakikitungo sa isang masalimuot na usapin tungkol sa pagbabayad ng kuwenta ng parokyano.
3,neutral,Hindi tinubos ng batas ang indibiduwal kundi ang pamayanan o ang bansa sa kabuuan.,Tutubusin ng batas ang Amerika.
4,neutral,"Ang iyong pasiya ang nagligtas sa akin mula sa isang kakila - kilabot na panganib, sabi niya.","Ayaw niyang tulungan siya ni Jesus, pero nagpapasalamat pa rin siya."
5,neutral,"Sa ibang dako naman sa hardin ng prinsipe, sa isang modernong gusali na tinatawag na Bahay ng Sailor (Casa de Marinos), malalaman mo kung ano ang naging kakatwang Tagus squadron ng plota ng hari.",Ang Bahay ng Sailor ay dinisenyo ng isang kilalang arkitektong Italyano.
6,neutral,"Sa katunayan, ang salitang quark ay nasa OED bilang isang pandiwa na nangangahulugang `croak,' na may 19th-century na mga reperensiya sa mga palaka, rook, at heron.",Karamihan sa mga tao ay hindi malaman ang pinagmulan ng salitang quark at ito ay tumutukoy sa ingay na gawa ng isang palaka.
7,neutral,at maaari rin silang maging napakabait pagkatapos na sila'y masanay,Sila'y mabilis na nagbabago samantalang nagsasanay.
8,neutral,Ito ang legal na pag - uulat ng mga karapatan ni Hukom Anthony Kennedy na tinatanggap ng mga estado.,Kennedy ang mga karapatan pagdating sa aborsiyon.
9,neutral,Ang ikalawang antas ng falsity ay na ipinagtatanggol lamang ni Brock si Hillary upang itaas ang sarili niyang iskandalong proprietaryal.,Naniniwala ang ilan na mali ang pagtatanggol ni Brock kay Hillary para itaas ang kaniyang sarili.
